Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,7,7,1684
1,RE_PV_Rooftop_Lim,7,7,7
2,RE_PV_Openfield_Lim,7,7,7
3,RE_WIND_Onshore_Lim,7,7,7
4,RE_WIND_Offshore_Lim,7,7,7
5,PP_CO2,7,7,7
6,BESS,7,7,7
7,EL_to_HTH,7,7,7
8,EL_to_NH3,7,7,7
9,NH3_Storage,7,7,7
10,NH3_to_EL,7,7,7
11,NH3_to_HTH,7,7,7
12,FF_to_HTH,7,7,7
13,EL_Demand,7,7,7
14,HTH_Demand,7,7,7
15,RE_PV_Rooftop_Lim,6,6,6
16,RE_PV_Openfield_Lim,6,6,6
17,RE_WIND_Onshore_Lim,6,6,6
18,RE_WIND_Offshore_Lim,6,6,6
19,PP_CO2,6,6,6
20,BESS,6,6,6
21,EL_to_HTH,6,6,6
22,EL_to_NH3,6,6,6
23,NH3_Storage,6,6,6
24,NH3_to_EL,6,6,6
25,NH3_to_HTH,6,6,6
26,FF_to_HTH,6,6,6
27,EL_Demand,6,6,6
28,HTH_Demand,6,6,6
