country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,KH,,,75.5,0.0,RE_PV_Rooftop_Lim_[VN]
VN,KH,,,75.5,0.8,RE_PV_Openfield_Lim_[VN]
VN,KH,,,75.5,0.0,RE_WIND_Onshore_Lim_[VN]
VN,KH,,,75.5,6.2,RE_WIND_Offshore_Lim_[VN]
VN,KH,,,75.5,3.0,PP_CO2_[VN]
VN,KH,,,75.5,0.0,BESS_[VN]
VN,KH,,,75.5,0.5,EL_to_HTH_[VN]
VN,KH,,,75.5,0.0,EL_to_NH3_[VN]
VN,KH,,,75.5,0.0,NH3_Storage_[VN]
VN,KH,,,75.5,0.0,NH3_to_EL_[VN]
VN,KH,,,75.5,0.0,NH3_to_HTH_[VN]
VN,KH,,,75.5,3.3,FF_to_HTH_[VN]
VN,KH,,,75.5,0.0,EL_Demand_[VN]
VN,KH,,,75.5,0.0,HTH_Demand_[VN]
VN,KH,,,75.5,0.0,RE_PV_Rooftop_Lim_[KH]
VN,KH,,,75.5,0.1,RE_PV_Openfield_Lim_[KH]
VN,KH,,,75.5,0.8,RE_WIND_Onshore_Lim_[KH]
VN,KH,,,75.5,0.0,RE_WIND_Offshore_Lim_[KH]
VN,KH,,,75.5,0.0,PP_CO2_[KH]
VN,KH,,,75.5,0.0,BESS_[KH]
VN,KH,,,75.5,0.1,EL_to_HTH_[KH]
VN,KH,,,75.5,0.0,EL_to_NH3_[KH]
VN,KH,,,75.5,0.0,NH3_Storage_[KH]
VN,KH,,,75.5,0.0,NH3_to_EL_[KH]
VN,KH,,,75.5,0.0,NH3_to_HTH_[KH]
VN,KH,,,75.5,0.9,FF_to_HTH_[KH]
VN,KH,,,75.5,0.0,EL_Demand_[KH]
VN,KH,,,75.5,0.0,HTH_Demand_[KH]
VN,KH,,,37.7,0.0,RE_PV_Rooftop_Lim_[VN]
VN,KH,,,37.7,1.5,RE_PV_Openfield_Lim_[VN]
VN,KH,,,37.7,5.5,RE_WIND_Onshore_Lim_[VN]
VN,KH,,,37.7,3.4,RE_WIND_Offshore_Lim_[VN]
VN,KH,,,37.7,1.8,PP_CO2_[VN]
VN,KH,,,37.7,0.5,BESS_[VN]
VN,KH,,,37.7,0.5,EL_to_HTH_[VN]
VN,KH,,,37.7,0.0,EL_to_NH3_[VN]
VN,KH,,,37.7,0.0,NH3_Storage_[VN]
VN,KH,,,37.7,0.0,NH3_to_EL_[VN]
VN,KH,,,37.7,0.0,NH3_to_HTH_[VN]
VN,KH,,,37.7,2.2,FF_to_HTH_[VN]
VN,KH,,,37.7,0.0,EL_Demand_[VN]
VN,KH,,,37.7,0.0,HTH_Demand_[VN]
VN,KH,,,37.7,0.0,RE_PV_Rooftop_Lim_[KH]
VN,KH,,,37.7,0.3,RE_PV_Openfield_Lim_[KH]
VN,KH,,,37.7,1.0,RE_WIND_Onshore_Lim_[KH]
VN,KH,,,37.7,0.0,RE_WIND_Offshore_Lim_[KH]
VN,KH,,,37.7,0.0,PP_CO2_[KH]
VN,KH,,,37.7,0.0,BESS_[KH]
VN,KH,,,37.7,0.1,EL_to_HTH_[KH]
VN,KH,,,37.7,0.0,EL_to_NH3_[KH]
VN,KH,,,37.7,0.0,NH3_Storage_[KH]
VN,KH,,,37.7,0.0,NH3_to_EL_[KH]
VN,KH,,,37.7,0.0,NH3_to_HTH_[KH]
VN,KH,,,37.7,0.6,FF_to_HTH_[KH]
VN,KH,,,37.7,0.0,EL_Demand_[KH]
VN,KH,,,37.7,0.0,HTH_Demand_[KH]
