country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,VN,LA,,119.1,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,119.1,0.2,8.1,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,119.1,0.0,0.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,119.1,6.1,116.6,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,119.1,3.3,41.3,PP_CO2_[VN]
SG,VN,LA,,119.1,0.0,0.8,BESS_[VN]
SG,VN,LA,,119.1,0.5,44.1,EL_to_HTH_[VN]
SG,VN,LA,,119.1,0.0,0.0,EL_to_NH3_[VN]
SG,VN,LA,,119.1,0.0,0.3,NH3_Storage_[VN]
SG,VN,LA,,119.1,0.0,0.1,NH3_to_EL_[VN]
SG,VN,LA,,119.1,0.0,0.1,NH3_to_HTH_[VN]
SG,VN,LA,,119.1,3.6,45.9,FF_to_HTH_[VN]
SG,VN,LA,,119.1,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,119.1,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,119.1,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,119.1,0.0,1.6,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,119.1,0.1,2.9,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,119.1,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,119.1,0.1,1.2,PP_CO2_[LA]
SG,VN,LA,,119.1,0.0,0.1,BESS_[LA]
SG,VN,LA,,119.1,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,119.1,0.0,0.0,EL_to_NH3_[LA]
SG,VN,LA,,119.1,0.0,0.0,NH3_Storage_[LA]
SG,VN,LA,,119.1,0.0,0.0,NH3_to_EL_[LA]
SG,VN,LA,,119.1,0.0,0.0,NH3_to_HTH_[LA]
SG,VN,LA,,119.1,0.0,0.3,FF_to_HTH_[LA]
SG,VN,LA,,119.1,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,119.1,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,119.1,0.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,119.1,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,119.1,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,119.1,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,119.1,3.6,10.4,PP_CO2_[SG]
SG,VN,LA,,119.1,0.0,0.3,BESS_[SG]
SG,VN,LA,,119.1,0.0,0.0,EL_to_HTH_[SG]
SG,VN,LA,,119.1,0.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,119.1,0.0,0.0,NH3_Storage_[SG]
SG,VN,LA,,119.1,0.0,0.0,NH3_to_EL_[SG]
SG,VN,LA,,119.1,0.0,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,119.1,0.7,4.8,FF_to_HTH_[SG]
SG,VN,LA,,119.1,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,119.1,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,79.4,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,79.4,1.4,68.3,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,79.4,3.0,61.7,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,79.4,4.7,88.8,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,79.4,2.3,36.4,PP_CO2_[VN]
SG,VN,LA,,79.4,0.2,8.6,BESS_[VN]
SG,VN,LA,,79.4,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,79.4,0.0,0.0,EL_to_NH3_[VN]
SG,VN,LA,,79.4,0.0,0.0,NH3_Storage_[VN]
SG,VN,LA,,79.4,0.0,0.0,NH3_to_EL_[VN]
SG,VN,LA,,79.4,0.0,0.0,NH3_to_HTH_[VN]
SG,VN,LA,,79.4,2.6,46.2,FF_to_HTH_[VN]
SG,VN,LA,,79.4,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,79.4,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,79.4,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,79.4,0.1,2.7,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,79.4,0.2,3.8,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,79.4,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,79.4,0.1,0.9,PP_CO2_[LA]
SG,VN,LA,,79.4,0.0,1.3,BESS_[LA]
SG,VN,LA,,79.4,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,79.4,0.0,0.0,EL_to_NH3_[LA]
SG,VN,LA,,79.4,0.0,0.0,NH3_Storage_[LA]
SG,VN,LA,,79.4,0.0,0.0,NH3_to_EL_[LA]
SG,VN,LA,,79.4,0.0,0.0,NH3_to_HTH_[LA]
SG,VN,LA,,79.4,0.0,0.3,FF_to_HTH_[LA]
SG,VN,LA,,79.4,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,79.4,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,79.4,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,79.4,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,79.4,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,79.4,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,79.4,3.3,10.4,PP_CO2_[SG]
SG,VN,LA,,79.4,0.0,0.2,BESS_[SG]
SG,VN,LA,,79.4,0.0,0.0,EL_to_HTH_[SG]
SG,VN,LA,,79.4,0.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,79.4,0.0,0.0,NH3_Storage_[SG]
SG,VN,LA,,79.4,0.0,0.0,NH3_to_EL_[SG]
SG,VN,LA,,79.4,0.0,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,79.4,0.7,4.8,FF_to_HTH_[SG]
SG,VN,LA,,79.4,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,79.4,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,39.7,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,39.7,2.6,126.4,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,39.7,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,39.7,1.7,32.5,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,39.7,0.0,0.0,PP_CO2_[VN]
SG,VN,LA,,39.7,1.7,96.4,BESS_[VN]
SG,VN,LA,,39.7,0.5,45.4,EL_to_HTH_[VN]
SG,VN,LA,,39.7,0.6,10.8,EL_to_NH3_[VN]
SG,VN,LA,,39.7,2.4,146.6,NH3_Storage_[VN]
SG,VN,LA,,39.7,0.4,4.8,NH3_to_EL_[VN]
SG,VN,LA,,39.7,0.1,5.3,NH3_to_HTH_[VN]
SG,VN,LA,,39.7,0.7,19.0,FF_to_HTH_[VN]
SG,VN,LA,,39.7,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,39.7,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,39.7,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,39.7,0.1,5.2,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,39.7,0.2,4.2,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,39.7,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,39.7,0.0,0.0,PP_CO2_[LA]
SG,VN,LA,,39.7,0.1,7.2,BESS_[LA]
SG,VN,LA,,39.7,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,39.7,0.0,0.3,EL_to_NH3_[LA]
SG,VN,LA,,39.7,0.0,2.7,NH3_Storage_[LA]
SG,VN,LA,,39.7,0.0,0.2,NH3_to_EL_[LA]
SG,VN,LA,,39.7,0.0,0.1,NH3_to_HTH_[LA]
SG,VN,LA,,39.7,0.0,0.3,FF_to_HTH_[LA]
SG,VN,LA,,39.7,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,39.7,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,39.7,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,39.7,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,39.7,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,39.7,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,39.7,3.3,10.4,PP_CO2_[SG]
SG,VN,LA,,39.7,0.0,0.2,BESS_[SG]
SG,VN,LA,,39.7,0.0,0.0,EL_to_HTH_[SG]
SG,VN,LA,,39.7,0.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,39.7,0.0,0.0,NH3_Storage_[SG]
SG,VN,LA,,39.7,0.0,0.0,NH3_to_EL_[SG]
SG,VN,LA,,39.7,0.0,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,39.7,0.7,4.9,FF_to_HTH_[SG]
SG,VN,LA,,39.7,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,39.7,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,35.2,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,35.2,3.5,169.6,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,35.2,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,35.2,0.5,8.6,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,35.2,0.0,0.0,PP_CO2_[VN]
SG,VN,LA,,35.2,2.4,133.2,BESS_[VN]
SG,VN,LA,,35.2,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,35.2,1.2,20.7,EL_to_NH3_[VN]
SG,VN,LA,,35.2,5.1,304.9,NH3_Storage_[VN]
SG,VN,LA,,35.2,0.3,3.4,NH3_to_EL_[VN]
SG,VN,LA,,35.2,0.1,8.7,NH3_to_HTH_[VN]
SG,VN,LA,,35.2,0.1,3.5,FF_to_HTH_[VN]
SG,VN,LA,,35.2,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,35.2,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,35.2,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,35.2,0.1,4.8,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,35.2,0.2,5.1,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,35.2,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,35.2,0.0,0.0,PP_CO2_[LA]
SG,VN,LA,,35.2,0.1,5.6,BESS_[LA]
SG,VN,LA,,35.2,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,35.2,0.0,0.4,EL_to_NH3_[LA]
SG,VN,LA,,35.2,0.1,4.5,NH3_Storage_[LA]
SG,VN,LA,,35.2,0.0,0.2,NH3_to_EL_[LA]
SG,VN,LA,,35.2,0.0,0.1,NH3_to_HTH_[LA]
SG,VN,LA,,35.2,0.0,0.0,FF_to_HTH_[LA]
SG,VN,LA,,35.2,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,35.2,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,35.2,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,35.2,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,35.2,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,35.2,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,35.2,3.3,10.4,PP_CO2_[SG]
SG,VN,LA,,35.2,0.0,0.2,BESS_[SG]
SG,VN,LA,,35.2,0.0,0.0,EL_to_HTH_[SG]
SG,VN,LA,,35.2,0.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,35.2,0.0,0.0,NH3_Storage_[SG]
SG,VN,LA,,35.2,0.0,0.0,NH3_to_EL_[SG]
SG,VN,LA,,35.2,0.0,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,35.2,0.7,4.9,FF_to_HTH_[SG]
SG,VN,LA,,35.2,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,35.2,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,52.8,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,52.8,1.4,67.9,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,52.8,9.2,191.7,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,52.8,1.6,30.8,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,52.8,0.5,7.4,PP_CO2_[VN]
SG,VN,LA,,52.8,0.9,49.6,BESS_[VN]
SG,VN,LA,,52.8,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,52.8,0.2,3.7,EL_to_NH3_[VN]
SG,VN,LA,,52.8,0.7,39.4,NH3_Storage_[VN]
SG,VN,LA,,52.8,0.4,4.8,NH3_to_EL_[VN]
SG,VN,LA,,52.8,0.0,1.2,NH3_to_HTH_[VN]
SG,VN,LA,,52.8,1.8,45.6,FF_to_HTH_[VN]
SG,VN,LA,,52.8,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,52.8,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,52.8,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,52.8,0.1,3.3,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,52.8,0.2,4.7,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,52.8,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,52.8,0.0,0.5,PP_CO2_[LA]
SG,VN,LA,,52.8,0.0,2.4,BESS_[LA]
SG,VN,LA,,52.8,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,52.8,0.0,0.2,EL_to_NH3_[LA]
SG,VN,LA,,52.8,0.0,1.1,NH3_Storage_[LA]
SG,VN,LA,,52.8,0.0,0.1,NH3_to_EL_[LA]
SG,VN,LA,,52.8,0.0,0.0,NH3_to_HTH_[LA]
SG,VN,LA,,52.8,0.0,0.3,FF_to_HTH_[LA]
SG,VN,LA,,52.8,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,52.8,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,52.8,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,52.8,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,52.8,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,52.8,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,52.8,3.3,10.4,PP_CO2_[SG]
SG,VN,LA,,52.8,0.0,0.2,BESS_[SG]
SG,VN,LA,,52.8,0.0,0.0,EL_to_HTH_[SG]
SG,VN,LA,,52.8,0.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,52.8,0.0,0.0,NH3_Storage_[SG]
SG,VN,LA,,52.8,0.0,0.0,NH3_to_EL_[SG]
SG,VN,LA,,52.8,0.0,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,52.8,0.7,4.9,FF_to_HTH_[SG]
SG,VN,LA,,52.8,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,52.8,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,70.4,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,70.4,1.5,74.8,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,70.4,4.6,95.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,70.4,4.0,74.9,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,70.4,1.9,31.7,PP_CO2_[VN]
SG,VN,LA,,70.4,0.4,24.0,BESS_[VN]
SG,VN,LA,,70.4,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,70.4,0.0,0.1,EL_to_NH3_[VN]
SG,VN,LA,,70.4,0.0,0.7,NH3_Storage_[VN]
SG,VN,LA,,70.4,0.0,0.1,NH3_to_EL_[VN]
SG,VN,LA,,70.4,0.0,0.1,NH3_to_HTH_[VN]
SG,VN,LA,,70.4,2.3,45.8,FF_to_HTH_[VN]
SG,VN,LA,,70.4,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,70.4,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,70.4,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,70.4,0.1,2.7,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,70.4,0.2,4.1,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,70.4,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,70.4,0.1,0.9,PP_CO2_[LA]
SG,VN,LA,,70.4,0.0,1.8,BESS_[LA]
SG,VN,LA,,70.4,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,70.4,0.0,0.0,EL_to_NH3_[LA]
SG,VN,LA,,70.4,0.0,0.0,NH3_Storage_[LA]
SG,VN,LA,,70.4,0.0,0.0,NH3_to_EL_[LA]
SG,VN,LA,,70.4,0.0,0.0,NH3_to_HTH_[LA]
SG,VN,LA,,70.4,0.0,0.3,FF_to_HTH_[LA]
SG,VN,LA,,70.4,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,70.4,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,70.4,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
