country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,VN,LA,,37.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,37.0,3.0,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,37.0,10.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,37.0,1.2,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,37.0,0.0,PP_CO2_[VN]
SG,VN,LA,,37.0,1.9,BESS_[VN]
SG,VN,LA,,37.0,0.5,EL_to_HTH_[VN]
SG,VN,LA,,37.0,0.9,EL_to_NH3_[VN]
SG,VN,LA,,37.0,4.0,NH3_Storage_[VN]
SG,VN,LA,,37.0,0.3,NH3_to_EL_[VN]
SG,VN,LA,,37.0,0.1,NH3_to_HTH_[VN]
SG,VN,LA,,37.0,0.3,FF_to_HTH_[VN]
SG,VN,LA,,37.0,0.0,EL_Demand_[VN]
SG,VN,LA,,37.0,0.0,HTH_Demand_[VN]
SG,VN,LA,,37.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,37.0,0.1,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,37.0,0.2,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,37.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,37.0,0.0,PP_CO2_[LA]
SG,VN,LA,,37.0,0.1,BESS_[LA]
SG,VN,LA,,37.0,0.0,EL_to_HTH_[LA]
SG,VN,LA,,37.0,0.0,EL_to_NH3_[LA]
SG,VN,LA,,37.0,0.0,NH3_Storage_[LA]
SG,VN,LA,,37.0,0.0,NH3_to_EL_[LA]
SG,VN,LA,,37.0,0.0,NH3_to_HTH_[LA]
SG,VN,LA,,37.0,0.0,FF_to_HTH_[LA]
SG,VN,LA,,37.0,0.0,EL_Demand_[LA]
SG,VN,LA,,37.0,0.0,HTH_Demand_[LA]
SG,VN,LA,,37.0,0.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,37.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,37.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,37.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,37.0,3.3,PP_CO2_[SG]
SG,VN,LA,,37.0,0.0,BESS_[SG]
SG,VN,LA,,37.0,0.0,EL_to_HTH_[SG]
SG,VN,LA,,37.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,37.0,0.0,NH3_Storage_[SG]
SG,VN,LA,,37.0,0.0,NH3_to_EL_[SG]
SG,VN,LA,,37.0,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,37.0,0.7,FF_to_HTH_[SG]
SG,VN,LA,,37.0,0.0,EL_Demand_[SG]
SG,VN,LA,,37.0,0.0,HTH_Demand_[SG]
SG,VN,LA,,49.3,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,49.3,1.6,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,49.3,9.7,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,49.3,1.5,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,49.3,0.2,PP_CO2_[VN]
SG,VN,LA,,49.3,1.4,BESS_[VN]
SG,VN,LA,,49.3,0.5,EL_to_HTH_[VN]
SG,VN,LA,,49.3,0.2,EL_to_NH3_[VN]
SG,VN,LA,,49.3,0.7,NH3_Storage_[VN]
SG,VN,LA,,49.3,0.4,NH3_to_EL_[VN]
SG,VN,LA,,49.3,0.0,NH3_to_HTH_[VN]
SG,VN,LA,,49.3,1.6,FF_to_HTH_[VN]
SG,VN,LA,,49.3,0.0,EL_Demand_[VN]
SG,VN,LA,,49.3,0.0,HTH_Demand_[VN]
SG,VN,LA,,49.3,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,49.3,0.1,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,49.3,0.2,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,49.3,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,49.3,0.0,PP_CO2_[LA]
SG,VN,LA,,49.3,0.0,BESS_[LA]
SG,VN,LA,,49.3,0.0,EL_to_HTH_[LA]
SG,VN,LA,,49.3,0.0,EL_to_NH3_[LA]
SG,VN,LA,,49.3,0.0,NH3_Storage_[LA]
SG,VN,LA,,49.3,0.0,NH3_to_EL_[LA]
SG,VN,LA,,49.3,0.0,NH3_to_HTH_[LA]
SG,VN,LA,,49.3,0.0,FF_to_HTH_[LA]
SG,VN,LA,,49.3,0.0,EL_Demand_[LA]
SG,VN,LA,,49.3,0.0,HTH_Demand_[LA]
SG,VN,LA,,49.3,0.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,49.3,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,49.3,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,49.3,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,49.3,3.3,PP_CO2_[SG]
SG,VN,LA,,49.3,0.0,BESS_[SG]
SG,VN,LA,,49.3,0.0,EL_to_HTH_[SG]
SG,VN,LA,,49.3,0.0,EL_to_NH3_[SG]
SG,VN,LA,,49.3,0.0,NH3_Storage_[SG]
SG,VN,LA,,49.3,0.0,NH3_to_EL_[SG]
SG,VN,LA,,49.3,0.0,NH3_to_HTH_[SG]
SG,VN,LA,,49.3,0.7,FF_to_HTH_[SG]
SG,VN,LA,,49.3,0.0,EL_Demand_[SG]
SG,VN,LA,,49.3,0.0,HTH_Demand_[SG]
SG,VN,LA,,61.6,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,61.6,1.4,RE_PV_Openfield_Lim_[VN]
