country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,0.0,3.8,183.2,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,0.0,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,0.0,1.7,33.2,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,0.0,0.0,0.0,PP_CO2_[VN]
SG,VN,LA,,0.0,1.8,100.0,BESS_[VN]
SG,VN,LA,,0.0,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,0.0,1.7,30.4,EL_to_NH3_[VN]
SG,VN,LA,,0.0,5.3,318.1,NH3_Storage_[VN]
SG,VN,LA,,0.0,0.4,4.5,NH3_to_EL_[VN]
SG,VN,LA,,0.0,0.1,9.0,NH3_to_HTH_[VN]
SG,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[VN]
SG,VN,LA,,0.0,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,0.0,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,0.0,0.1,5.0,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,0.0,0.2,4.8,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,0.0,0.0,0.0,PP_CO2_[LA]
SG,VN,LA,,0.0,0.1,5.6,BESS_[LA]
SG,VN,LA,,0.0,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,0.0,0.0,0.4,EL_to_NH3_[LA]
SG,VN,LA,,0.0,0.1,3.7,NH3_Storage_[LA]
SG,VN,LA,,0.0,0.0,0.1,NH3_to_EL_[LA]
SG,VN,LA,,0.0,0.0,0.1,NH3_to_HTH_[LA]
SG,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[LA]
SG,VN,LA,,0.0,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,0.0,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,0.0,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,0.0,0.0,0.0,PP_CO2_[SG]
SG,VN,LA,,0.0,0.0,1.8,BESS_[SG]
SG,VN,LA,,0.0,0.1,4.8,EL_to_HTH_[SG]
SG,VN,LA,,0.0,0.0,0.0,EL_to_NH3_[SG]
SG,VN,LA,,0.0,1.7,101.4,NH3_Storage_[SG]
SG,VN,LA,,0.0,0.3,3.2,NH3_to_EL_[SG]
SG,VN,LA,,0.0,0.0,0.9,NH3_to_HTH_[SG]
SG,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[SG]
SG,VN,LA,,0.0,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,0.0,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,0.0,0.0,3.7,NH3_Transport_[VN-LA]
SG,VN,LA,,0.0,0.0,0.2,EL_Transport_[VN-LA]
SG,VN,LA,,0.0,0.0,102.4,NH3_Transport_[VN-SG]
SG,VN,LA,,0.0,0.7,13.5,EL_Transport_[VN-SG]
SG,VN,LA,,0.0,0.0,3.7,NH3_Transport_[LA-SG]
SG,VN,LA,,0.0,0.0,0.3,EL_Transport_[LA-SG]
SG,VN,LA,,12.3,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,12.3,2.1,103.8,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,12.3,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,12.3,2.7,50.5,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,12.3,0.0,0.0,PP_CO2_[VN]
SG,VN,LA,,12.3,0.5,30.2,BESS_[VN]
SG,VN,LA,,12.3,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,12.3,0.6,11.2,EL_to_NH3_[VN]
SG,VN,LA,,12.3,1.1,65.1,NH3_Storage_[VN]
SG,VN,LA,,12.3,0.6,7.6,NH3_to_EL_[VN]
SG,VN,LA,,12.3,0.0,2.6,NH3_to_HTH_[VN]
SG,VN,LA,,12.3,1.4,45.1,FF_to_HTH_[VN]
SG,VN,LA,,12.3,0.0,51.6,EL_Demand_[VN]
SG,VN,LA,,12.3,0.0,46.8,HTH_Demand_[VN]
SG,VN,LA,,12.3,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,VN,LA,,12.3,0.1,5.5,RE_PV_Openfield_Lim_[LA]
SG,VN,LA,,12.3,0.2,3.3,RE_WIND_Onshore_Lim_[LA]
SG,VN,LA,,12.3,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,VN,LA,,12.3,0.0,0.0,PP_CO2_[LA]
SG,VN,LA,,12.3,0.1,3.7,BESS_[LA]
SG,VN,LA,,12.3,0.0,0.3,EL_to_HTH_[LA]
SG,VN,LA,,12.3,0.1,1.0,EL_to_NH3_[LA]
SG,VN,LA,,12.3,0.1,8.9,NH3_Storage_[LA]
SG,VN,LA,,12.3,0.0,0.4,NH3_to_EL_[LA]
SG,VN,LA,,12.3,0.0,0.1,NH3_to_HTH_[LA]
SG,VN,LA,,12.3,0.0,0.3,FF_to_HTH_[LA]
SG,VN,LA,,12.3,0.0,1.6,EL_Demand_[LA]
SG,VN,LA,,12.3,0.0,0.3,HTH_Demand_[LA]
SG,VN,LA,,12.3,0.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,LA,,12.3,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,VN,LA,,12.3,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,LA,,12.3,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,LA,,12.3,0.2,2.4,PP_CO2_[SG]
SG,VN,LA,,12.3,0.1,4.9,BESS_[SG]
SG,VN,LA,,12.3,0.1,4.8,EL_to_HTH_[SG]
SG,VN,LA,,12.3,0.0,0.7,EL_to_NH3_[SG]
SG,VN,LA,,12.3,0.8,45.8,NH3_Storage_[SG]
SG,VN,LA,,12.3,0.2,2.2,NH3_to_EL_[SG]
SG,VN,LA,,12.3,0.0,0.7,NH3_to_HTH_[SG]
SG,VN,LA,,12.3,0.2,4.7,FF_to_HTH_[SG]
SG,VN,LA,,12.3,0.0,10.7,EL_Demand_[SG]
SG,VN,LA,,12.3,0.0,4.9,HTH_Demand_[SG]
SG,VN,LA,,12.3,0.0,9.0,NH3_Transport_[VN-LA]
SG,VN,LA,,12.3,0.0,1.0,EL_Transport_[VN-LA]
SG,VN,LA,,12.3,0.0,46.0,NH3_Transport_[VN-SG]
SG,VN,LA,,12.3,0.7,14.6,EL_Transport_[VN-SG]
SG,VN,LA,,12.3,0.0,9.0,NH3_Transport_[LA-SG]
SG,VN,LA,,12.3,0.0,0.0,EL_Transport_[LA-SG]
SG,VN,LA,,24.6,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,LA,,24.6,1.8,88.8,RE_PV_Openfield_Lim_[VN]
SG,VN,LA,,24.6,7.6,157.1,RE_WIND_Onshore_Lim_[VN]
SG,VN,LA,,24.6,3.6,68.6,RE_WIND_Offshore_Lim_[VN]
SG,VN,LA,,24.6,0.3,6.2,PP_CO2_[VN]
SG,VN,LA,,24.6,0.3,17.2,BESS_[VN]
SG,VN,LA,,24.6,0.5,45.8,EL_to_HTH_[VN]
SG,VN,LA,,24.6,0.2,4.0,EL_to_NH3_[VN]
SG,VN,LA,,24.6,0.3,20.4,NH3_Storage_[VN]
