country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,MY,VN,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,MY,VN,LA,0.0,3.2,157.0,RE_PV_Openfield_Lim_[VN]
SG,MY,VN,LA,0.0,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
SG,MY,VN,LA,0.0,2.4,46.3,RE_WIND_Offshore_Lim_[VN]
SG,MY,VN,LA,0.0,0.0,0.0,PP_CO2_[VN]
SG,MY,VN,LA,0.0,0.8,45.2,BESS_[VN]
SG,MY,VN,LA,0.0,0.5,45.8,EL_to_HTH_[VN]
SG,MY,VN,LA,0.0,2.1,37.1,EL_to_NH3_[VN]
SG,MY,VN,LA,0.0,5.5,329.2,NH3_Storage_[VN]
SG,MY,VN,LA,0.0,0.3,4.0,NH3_to_EL_[VN]
SG,MY,VN,LA,0.0,0.1,9.0,NH3_to_HTH_[VN]
SG,MY,VN,LA,0.0,0.0,0.0,FF_to_HTH_[VN]
SG,MY,VN,LA,0.0,0.0,51.6,EL_Demand_[VN]
SG,MY,VN,LA,0.0,0.0,46.8,HTH_Demand_[VN]
SG,MY,VN,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,VN,LA,0.0,3.1,151.2,RE_PV_Openfield_Lim_[MY]
SG,MY,VN,LA,0.0,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
SG,MY,VN,LA,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
SG,MY,VN,LA,0.0,0.0,0.0,PP_CO2_[MY]
SG,MY,VN,LA,0.0,4.0,222.0,BESS_[MY]
SG,MY,VN,LA,0.0,0.1,12.5,EL_to_HTH_[MY]
SG,MY,VN,LA,0.0,0.0,0.1,EL_to_NH3_[MY]
SG,MY,VN,LA,0.0,1.6,93.7,NH3_Storage_[MY]
SG,MY,VN,LA,0.0,0.0,0.0,NH3_to_EL_[MY]
SG,MY,VN,LA,0.0,0.0,2.4,NH3_to_HTH_[MY]
SG,MY,VN,LA,0.0,0.0,0.0,FF_to_HTH_[MY]
SG,MY,VN,LA,0.0,0.0,34.4,EL_Demand_[MY]
SG,MY,VN,LA,0.0,0.0,12.7,HTH_Demand_[MY]
SG,MY,VN,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,MY,VN,LA,0.0,0.1,4.2,RE_PV_Openfield_Lim_[LA]
SG,MY,VN,LA,0.0,0.2,4.8,RE_WIND_Onshore_Lim_[LA]
