country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,0.0,3.0,146.1,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,0.0,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,0.0,1.4,27.3,RE_WIND_Offshore_Lim_[VN]
MY,VN,LA,,0.0,0.0,0.0,PP_CO2_[VN]
MY,VN,LA,,0.0,1.0,55.3,BESS_[VN]
MY,VN,LA,,0.0,0.5,45.8,EL_to_HTH_[VN]
MY,VN,LA,,0.0,1.9,32.5,EL_to_NH3_[VN]
MY,VN,LA,,0.0,5.5,332.4,NH3_Storage_[VN]
MY,VN,LA,,0.0,0.3,4.2,NH3_to_EL_[VN]
MY,VN,LA,,0.0,0.1,9.0,NH3_to_HTH_[VN]
MY,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[VN]
MY,VN,LA,,0.0,0.0,51.6,EL_Demand_[VN]
MY,VN,LA,,0.0,0.0,46.8,HTH_Demand_[VN]
MY,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,VN,LA,,0.0,2.3,113.6,RE_PV_Openfield_Lim_[MY]
MY,VN,LA,,0.0,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
MY,VN,LA,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,VN,LA,,0.0,0.0,0.0,PP_CO2_[MY]
MY,VN,LA,,0.0,3.0,166.2,BESS_[MY]
MY,VN,LA,,0.0,0.1,12.5,EL_to_HTH_[MY]
MY,VN,LA,,0.0,0.0,0.1,EL_to_NH3_[MY]
MY,VN,LA,,0.0,2.1,126.3,NH3_Storage_[MY]
MY,VN,LA,,0.0,0.1,1.1,NH3_to_EL_[MY]
MY,VN,LA,,0.0,0.0,2.4,NH3_to_HTH_[MY]
MY,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[MY]
MY,VN,LA,,0.0,0.0,34.4,EL_Demand_[MY]
MY,VN,LA,,0.0,0.0,12.7,HTH_Demand_[MY]
MY,VN,LA,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
MY,VN,LA,,0.0,0.1,4.3,RE_PV_Openfield_Lim_[LA]
MY,VN,LA,,0.0,0.2,4.7,RE_WIND_Onshore_Lim_[LA]
MY,VN,LA,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
MY,VN,LA,,0.0,0.0,0.0,PP_CO2_[LA]
MY,VN,LA,,0.0,0.1,3.8,BESS_[LA]
MY,VN,LA,,0.0,0.0,0.3,EL_to_HTH_[LA]
MY,VN,LA,,0.0,0.0,0.4,EL_to_NH3_[LA]
MY,VN,LA,,0.0,0.1,5.7,NH3_Storage_[LA]
MY,VN,LA,,0.0,0.0,0.2,NH3_to_EL_[LA]
MY,VN,LA,,0.0,0.0,0.1,NH3_to_HTH_[LA]
MY,VN,LA,,0.0,0.0,0.0,FF_to_HTH_[LA]
MY,VN,LA,,0.0,0.0,1.6,EL_Demand_[LA]
MY,VN,LA,,0.0,0.0,0.3,HTH_Demand_[LA]
MY,VN,LA,,0.0,0.0,128.8,NH3_Transport_[VN-MY]
MY,VN,LA,,0.0,0.3,7.6,EL_Transport_[VN-MY]
MY,VN,LA,,0.0,0.0,5.7,NH3_Transport_[VN-LA]
MY,VN,LA,,0.0,0.0,0.4,EL_Transport_[VN-LA]
MY,VN,LA,,0.0,0.0,5.7,NH3_Transport_[MY-LA]
MY,VN,LA,,0.0,0.0,0.0,EL_Transport_[MY-LA]
MY,VN,LA,,18.1,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,18.1,0.4,21.4,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,18.1,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,18.1,3.3,61.8,RE_WIND_Offshore_Lim_[VN]
MY,VN,LA,,18.1,0.0,0.0,PP_CO2_[VN]
MY,VN,LA,,18.1,0.0,0.0,BESS_[VN]
MY,VN,LA,,18.1,0.5,45.8,EL_to_HTH_[VN]
MY,VN,LA,,18.1,0.6,9.6,EL_to_NH3_[VN]
MY,VN,LA,,18.1,1.0,62.2,NH3_Storage_[VN]
MY,VN,LA,,18.1,0.5,5.7,NH3_to_EL_[VN]
MY,VN,LA,,18.1,0.0,1.9,NH3_to_HTH_[VN]
MY,VN,LA,,18.1,1.5,45.4,FF_to_HTH_[VN]
MY,VN,LA,,18.1,0.0,51.6,EL_Demand_[VN]
MY,VN,LA,,18.1,0.0,46.8,HTH_Demand_[VN]
MY,VN,LA,,18.1,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,VN,LA,,18.1,2.7,133.2,RE_PV_Openfield_Lim_[MY]
MY,VN,LA,,18.1,3.1,63.9,RE_WIND_Onshore_Lim_[MY]
MY,VN,LA,,18.1,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,VN,LA,,18.1,0.3,5.8,PP_CO2_[MY]
MY,VN,LA,,18.1,2.3,129.9,BESS_[MY]
MY,VN,LA,,18.1,0.1,12.4,EL_to_HTH_[MY]
MY,VN,LA,,18.1,0.3,4.4,EL_to_NH3_[MY]
MY,VN,LA,,18.1,0.7,39.3,NH3_Storage_[MY]
MY,VN,LA,,18.1,0.2,2.2,NH3_to_EL_[MY]
MY,VN,LA,,18.1,0.0,1.1,NH3_to_HTH_[MY]
MY,VN,LA,,18.1,0.5,12.3,FF_to_HTH_[MY]
MY,VN,LA,,18.1,0.0,34.4,EL_Demand_[MY]
MY,VN,LA,,18.1,0.0,12.7,HTH_Demand_[MY]
MY,VN,LA,,18.1,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
MY,VN,LA,,18.1,0.1,5.1,RE_PV_Openfield_Lim_[LA]
MY,VN,LA,,18.1,0.0,0.4,RE_WIND_Onshore_Lim_[LA]
MY,VN,LA,,18.1,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
MY,VN,LA,,18.1,0.2,2.5,PP_CO2_[LA]
MY,VN,LA,,18.1,0.0,1.0,BESS_[LA]
MY,VN,LA,,18.1,0.0,0.3,EL_to_HTH_[LA]
MY,VN,LA,,18.1,0.0,0.0,EL_to_NH3_[LA]
MY,VN,LA,,18.1,0.0,0.2,NH3_Storage_[LA]
MY,VN,LA,,18.1,0.0,0.0,NH3_to_EL_[LA]
MY,VN,LA,,18.1,0.0,0.0,NH3_to_HTH_[LA]
MY,VN,LA,,18.1,0.0,0.3,FF_to_HTH_[LA]
MY,VN,LA,,18.1,0.0,1.6,EL_Demand_[LA]
MY,VN,LA,,18.1,0.0,0.3,HTH_Demand_[LA]
MY,VN,LA,,18.1,0.0,42.6,NH3_Transport_[VN-MY]
MY,VN,LA,,18.1,0.8,18.8,EL_Transport_[VN-MY]
MY,VN,LA,,18.1,0.0,0.2,NH3_Transport_[VN-LA]
MY,VN,LA,,18.1,0.1,1.4,EL_Transport_[VN-LA]
MY,VN,LA,,18.1,0.0,0.0,NH3_Transport_[MY-LA]
MY,VN,LA,,18.1,0.0,0.0,EL_Transport_[MY-LA]
MY,VN,LA,,36.3,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,36.3,0.0,0.0,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,36.3,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,36.3,3.7,69.4,RE_WIND_Offshore_Lim_[VN]
MY,VN,LA,,36.3,0.0,0.0,PP_CO2_[VN]
MY,VN,LA,,36.3,0.0,0.0,BESS_[VN]
MY,VN,LA,,36.3,0.5,45.8,EL_to_HTH_[VN]
MY,VN,LA,,36.3,0.2,3.9,EL_to_NH3_[VN]
MY,VN,LA,,36.3,0.4,21.7,NH3_Storage_[VN]
MY,VN,LA,,36.3,0.3,3.3,NH3_to_EL_[VN]
MY,VN,LA,,36.3,0.0,0.6,NH3_to_HTH_[VN]
MY,VN,LA,,36.3,2.0,45.8,FF_to_HTH_[VN]
MY,VN,LA,,36.3,0.0,51.6,EL_Demand_[VN]
MY,VN,LA,,36.3,0.0,46.8,HTH_Demand_[VN]
MY,VN,LA,,36.3,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,VN,LA,,36.3,2.5,119.9,RE_PV_Openfield_Lim_[MY]
MY,VN,LA,,36.3,0.9,19.3,RE_WIND_Onshore_Lim_[MY]
MY,VN,LA,,36.3,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,VN,LA,,36.3,1.9,30.5,PP_CO2_[MY]
MY,VN,LA,,36.3,1.0,54.6,BESS_[MY]
MY,VN,LA,,36.3,0.1,12.4,EL_to_HTH_[MY]
MY,VN,LA,,36.3,0.1,2.1,EL_to_NH3_[MY]
MY,VN,LA,,36.3,0.3,17.5,NH3_Storage_[MY]
MY,VN,LA,,36.3,0.2,2.2,NH3_to_EL_[MY]
MY,VN,LA,,36.3,0.0,0.2,NH3_to_HTH_[MY]
MY,VN,LA,,36.3,0.7,12.4,FF_to_HTH_[MY]
MY,VN,LA,,36.3,0.0,34.4,EL_Demand_[MY]
MY,VN,LA,,36.3,0.0,12.7,HTH_Demand_[MY]
MY,VN,LA,,36.3,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
MY,VN,LA,,36.3,0.1,4.8,RE_PV_Openfield_Lim_[LA]
MY,VN,LA,,36.3,0.0,0.5,RE_WIND_Onshore_Lim_[LA]
MY,VN,LA,,36.3,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
MY,VN,LA,,36.3,0.2,2.4,PP_CO2_[LA]
MY,VN,LA,,36.3,0.0,0.2,BESS_[LA]
MY,VN,LA,,36.3,0.0,0.3,EL_to_HTH_[LA]
MY,VN,LA,,36.3,0.0,0.1,EL_to_NH3_[LA]
MY,VN,LA,,36.3,0.0,0.5,NH3_Storage_[LA]
MY,VN,LA,,36.3,0.0,0.1,NH3_to_EL_[LA]
MY,VN,LA,,36.3,0.0,0.0,NH3_to_HTH_[LA]
MY,VN,LA,,36.3,0.0,0.3,FF_to_HTH_[LA]
MY,VN,LA,,36.3,0.0,1.6,EL_Demand_[LA]
MY,VN,LA,,36.3,0.0,0.3,HTH_Demand_[LA]
MY,VN,LA,,36.3,0.0,19.7,NH3_Transport_[VN-MY]
MY,VN,LA,,36.3,1.4,31.6,EL_Transport_[VN-MY]
MY,VN,LA,,36.3,0.0,0.6,NH3_Transport_[VN-LA]
MY,VN,LA,,36.3,0.1,1.4,EL_Transport_[VN-LA]
MY,VN,LA,,36.3,0.0,0.5,NH3_Transport_[MY-LA]
MY,VN,LA,,36.3,0.0,0.0,EL_Transport_[MY-LA]
MY,VN,LA,,54.4,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,54.4,0.0,0.0,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,54.4,6.1,126.8,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,54.4,5.5,104.7,RE_WIND_Offshore_Lim_[VN]
MY,VN,LA,,54.4,0.7,14.1,PP_CO2_[VN]
MY,VN,LA,,54.4,0.0,1.2,BESS_[VN]
MY,VN,LA,,54.4,0.5,45.8,EL_to_HTH_[VN]
MY,VN,LA,,54.4,0.0,0.2,EL_to_NH3_[VN]
MY,VN,LA,,54.4,0.0,1.1,NH3_Storage_[VN]
MY,VN,LA,,54.4,0.0,0.2,NH3_to_EL_[VN]
MY,VN,LA,,54.4,0.0,0.1,NH3_to_HTH_[VN]
MY,VN,LA,,54.4,2.4,46.0,FF_to_HTH_[VN]
MY,VN,LA,,54.4,0.0,51.6,EL_Demand_[VN]
MY,VN,LA,,54.4,0.0,46.8,HTH_Demand_[VN]
MY,VN,LA,,54.4,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,VN,LA,,54.4,2.5,122.8,RE_PV_Openfield_Lim_[MY]
MY,VN,LA,,54.4,0.5,9.5,RE_WIND_Onshore_Lim_[MY]
MY,VN,LA,,54.4,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,VN,LA,,54.4,2.6,38.2,PP_CO2_[MY]
MY,VN,LA,,54.4,1.0,55.8,BESS_[MY]
MY,VN,LA,,54.4,0.1,12.3,EL_to_HTH_[MY]
MY,VN,LA,,54.4,0.0,0.2,EL_to_NH3_[MY]
MY,VN,LA,,54.4,0.0,0.7,NH3_Storage_[MY]
MY,VN,LA,,54.4,0.0,0.1,NH3_to_EL_[MY]
MY,VN,LA,,54.4,0.0,0.0,NH3_to_HTH_[MY]
MY,VN,LA,,54.4,0.9,12.5,FF_to_HTH_[MY]
MY,VN,LA,,54.4,0.0,34.4,EL_Demand_[MY]
MY,VN,LA,,54.4,0.0,12.7,HTH_Demand_[MY]
MY,VN,LA,,54.4,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
MY,VN,LA,,54.4,0.1,4.5,RE_PV_Openfield_Lim_[LA]
MY,VN,LA,,54.4,0.0,0.5,RE_WIND_Onshore_Lim_[LA]
MY,VN,LA,,54.4,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
MY,VN,LA,,54.4,0.2,2.6,PP_CO2_[LA]
MY,VN,LA,,54.4,0.0,0.2,BESS_[LA]
MY,VN,LA,,54.4,0.0,0.3,EL_to_HTH_[LA]
MY,VN,LA,,54.4,0.0,0.0,EL_to_NH3_[LA]
MY,VN,LA,,54.4,0.0,0.1,NH3_Storage_[LA]
MY,VN,LA,,54.4,0.0,0.0,NH3_to_EL_[LA]
MY,VN,LA,,54.4,0.0,0.0,NH3_to_HTH_[LA]
MY,VN,LA,,54.4,0.0,0.3,FF_to_HTH_[LA]
MY,VN,LA,,54.4,0.0,1.6,EL_Demand_[LA]
MY,VN,LA,,54.4,0.0,0.3,HTH_Demand_[LA]
MY,VN,LA,,54.4,0.0,0.8,NH3_Transport_[VN-MY]
MY,VN,LA,,54.4,1.4,32.9,EL_Transport_[VN-MY]
MY,VN,LA,,54.4,0.0,0.1,NH3_Transport_[VN-LA]
MY,VN,LA,,54.4,0.1,1.4,EL_Transport_[VN-LA]
MY,VN,LA,,54.4,0.0,0.1,NH3_Transport_[MY-LA]
MY,VN,LA,,54.4,0.0,0.0,EL_Transport_[MY-LA]
MY,VN,LA,,72.5,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,72.5,0.0,0.0,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,72.5,2.3,47.0,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,72.5,8.1,153.7,RE_WIND_Offshore_Lim_[VN]
MY,VN,LA,,72.5,0.8,17.0,PP_CO2_[VN]
MY,VN,LA,,72.5,0.0,0.0,BESS_[VN]
MY,VN,LA,,72.5,0.5,45.6,EL_to_HTH_[VN]
MY,VN,LA,,72.5,0.0,0.0,EL_to_NH3_[VN]
MY,VN,LA,,72.5,0.0,0.0,NH3_Storage_[VN]
MY,VN,LA,,72.5,0.0,0.0,NH3_to_EL_[VN]
MY,VN,LA,,72.5,0.0,0.0,NH3_to_HTH_[VN]
MY,VN,LA,,72.5,2.7,46.0,FF_to_HTH_[VN]
MY,VN,LA,,72.5,0.0,51.6,EL_Demand_[VN]
MY,VN,LA,,72.5,0.0,46.8,HTH_Demand_[VN]
MY,VN,LA,,72.5,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,VN,LA,,72.5,2.3,112.2,RE_PV_Openfield_Lim_[MY]
MY,VN,LA,,72.5,0.0,0.0,RE_WIND_Onshore_Lim_[MY]
MY,VN,LA,,72.5,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,VN,LA,,72.5,3.6,49.0,PP_CO2_[MY]
MY,VN,LA,,72.5,0.3,14.9,BESS_[MY]
MY,VN,LA,,72.5,0.1,12.0,EL_to_HTH_[MY]
MY,VN,LA,,72.5,0.0,0.0,EL_to_NH3_[MY]
MY,VN,LA,,72.5,0.0,0.0,NH3_Storage_[MY]
MY,VN,LA,,72.5,0.0,0.0,NH3_to_EL_[MY]
MY,VN,LA,,72.5,0.0,0.0,NH3_to_HTH_[MY]
MY,VN,LA,,72.5,1.0,12.5,FF_to_HTH_[MY]
MY,VN,LA,,72.5,0.0,34.4,EL_Demand_[MY]
MY,VN,LA,,72.5,0.0,12.7,HTH_Demand_[MY]
MY,VN,LA,,72.5,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
MY,VN,LA,,72.5,0.1,3.5,RE_PV_Openfield_Lim_[LA]
MY,VN,LA,,72.5,0.0,1.0,RE_WIND_Onshore_Lim_[LA]
MY,VN,LA,,72.5,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
MY,VN,LA,,72.5,0.2,2.3,PP_CO2_[LA]
MY,VN,LA,,72.5,0.0,0.1,BESS_[LA]
MY,VN,LA,,72.5,0.0,0.3,EL_to_HTH_[LA]
MY,VN,LA,,72.5,0.0,0.0,EL_to_NH3_[LA]
MY,VN,LA,,72.5,0.0,0.0,NH3_Storage_[LA]
MY,VN,LA,,72.5,0.0,0.0,NH3_to_EL_[LA]
MY,VN,LA,,72.5,0.0,0.0,NH3_to_HTH_[LA]
MY,VN,LA,,72.5,0.0,0.3,FF_to_HTH_[LA]
MY,VN,LA,,72.5,0.0,1.6,EL_Demand_[LA]
MY,VN,LA,,72.5,0.0,0.3,HTH_Demand_[LA]
MY,VN,LA,,72.5,0.0,0.0,NH3_Transport_[VN-MY]
MY,VN,LA,,72.5,1.6,35.1,EL_Transport_[VN-MY]
MY,VN,LA,,72.5,0.0,0.0,NH3_Transport_[VN-LA]
MY,VN,LA,,72.5,0.0,1.1,EL_Transport_[VN-LA]
MY,VN,LA,,72.5,0.0,0.0,NH3_Transport_[MY-LA]
MY,VN,LA,,72.5,0.0,0.0,EL_Transport_[MY-LA]
MY,VN,LA,,90.6,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
MY,VN,LA,,90.6,0.0,0.0,RE_PV_Openfield_Lim_[VN]
MY,VN,LA,,90.6,0.0,0.3,RE_WIND_Onshore_Lim_[VN]
MY,VN,LA,,90.6,9.1,172.4,RE_WIND_Offshore_Lim_[VN]
