country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
VN,MY,,,162.7,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,162.7,0.2,8.5,RE_PV_Openfield_Lim_[VN]
VN,MY,,,162.7,0.0,0.0,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,162.7,6.2,116.9,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,162.7,3.3,41.3,PP_CO2_[VN]
VN,MY,,,162.7,0.0,1.3,BESS_[VN]
VN,MY,,,162.7,0.5,44.1,EL_to_HTH_[VN]
VN,MY,,,162.7,0.0,0.0,EL_to_NH3_[VN]
VN,MY,,,162.7,0.0,0.1,NH3_Storage_[VN]
VN,MY,,,162.7,0.0,0.0,NH3_to_EL_[VN]
VN,MY,,,162.7,0.0,0.1,NH3_to_HTH_[VN]
VN,MY,,,162.7,3.6,45.9,FF_to_HTH_[VN]
VN,MY,,,162.7,0.0,51.6,EL_Demand_[VN]
VN,MY,,,162.7,0.0,46.8,HTH_Demand_[VN]
VN,MY,,,162.7,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,162.7,1.2,59.5,RE_PV_Openfield_Lim_[MY]
VN,MY,,,162.7,1.8,37.9,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,162.7,0.5,9.7,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,162.7,3.9,27.2,PP_CO2_[MY]
VN,MY,,,162.7,0.1,3.2,BESS_[MY]
VN,MY,,,162.7,0.1,8.2,EL_to_HTH_[MY]
VN,MY,,,162.7,0.0,0.0,EL_to_NH3_[MY]
VN,MY,,,162.7,0.0,0.0,NH3_Storage_[MY]
VN,MY,,,162.7,0.0,0.0,NH3_to_EL_[MY]
VN,MY,,,162.7,0.0,0.0,NH3_to_HTH_[MY]
VN,MY,,,162.7,1.7,12.5,FF_to_HTH_[MY]
VN,MY,,,162.7,0.0,34.4,EL_Demand_[MY]
VN,MY,,,162.7,0.0,12.7,HTH_Demand_[MY]
VN,MY,,,108.5,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,108.5,0.9,42.4,RE_PV_Openfield_Lim_[VN]
VN,MY,,,108.5,0.0,0.0,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,108.5,6.4,121.5,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,108.5,3.0,41.3,PP_CO2_[VN]
VN,MY,,,108.5,0.0,1.5,BESS_[VN]
VN,MY,,,108.5,0.5,45.1,EL_to_HTH_[VN]
VN,MY,,,108.5,0.0,0.0,EL_to_NH3_[VN]
VN,MY,,,108.5,0.0,0.0,NH3_Storage_[VN]
VN,MY,,,108.5,0.0,0.0,NH3_to_EL_[VN]
VN,MY,,,108.5,0.0,0.0,NH3_to_HTH_[VN]
VN,MY,,,108.5,3.2,46.0,FF_to_HTH_[VN]
VN,MY,,,108.5,0.0,51.6,EL_Demand_[VN]
VN,MY,,,108.5,0.0,46.8,HTH_Demand_[VN]
VN,MY,,,108.5,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,108.5,1.1,54.0,RE_PV_Openfield_Lim_[MY]
VN,MY,,,108.5,4.5,93.6,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,108.5,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,108.5,2.2,19.5,PP_CO2_[MY]
VN,MY,,,108.5,0.4,22.9,BESS_[MY]
VN,MY,,,108.5,0.1,11.9,EL_to_HTH_[MY]
VN,MY,,,108.5,0.0,0.0,EL_to_NH3_[MY]
VN,MY,,,108.5,0.0,0.0,NH3_Storage_[MY]
VN,MY,,,108.5,0.0,0.0,NH3_to_EL_[MY]
VN,MY,,,108.5,0.0,0.0,NH3_to_HTH_[MY]
VN,MY,,,108.5,1.4,12.5,FF_to_HTH_[MY]
VN,MY,,,108.5,0.0,34.4,EL_Demand_[MY]
VN,MY,,,108.5,0.0,12.7,HTH_Demand_[MY]
VN,MY,,,54.2,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,54.2,1.6,75.9,RE_PV_Openfield_Lim_[VN]
VN,MY,,,54.2,4.6,95.2,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,54.2,3.9,73.4,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,54.2,1.9,32.0,PP_CO2_[VN]
VN,MY,,,54.2,0.4,23.0,BESS_[VN]
VN,MY,,,54.2,0.5,45.8,EL_to_HTH_[VN]
VN,MY,,,54.2,0.0,0.1,EL_to_NH3_[VN]
VN,MY,,,54.2,0.0,0.6,NH3_Storage_[VN]
VN,MY,,,54.2,0.0,0.1,NH3_to_EL_[VN]
VN,MY,,,54.2,0.0,0.1,NH3_to_HTH_[VN]
VN,MY,,,54.2,2.3,45.8,FF_to_HTH_[VN]
VN,MY,,,54.2,0.0,51.6,EL_Demand_[VN]
VN,MY,,,54.2,0.0,46.8,HTH_Demand_[VN]
VN,MY,,,54.2,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,54.2,1.9,90.3,RE_PV_Openfield_Lim_[MY]
VN,MY,,,54.2,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,54.2,0.1,1.4,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,54.2,0.8,9.6,PP_CO2_[MY]
VN,MY,,,54.2,2.1,118.4,BESS_[MY]
VN,MY,,,54.2,0.1,12.3,EL_to_HTH_[MY]
VN,MY,,,54.2,0.0,0.0,EL_to_NH3_[MY]
VN,MY,,,54.2,0.0,0.0,NH3_Storage_[MY]
VN,MY,,,54.2,0.0,0.0,NH3_to_EL_[MY]
VN,MY,,,54.2,0.0,0.0,NH3_to_HTH_[MY]
VN,MY,,,54.2,1.0,12.6,FF_to_HTH_[MY]
VN,MY,,,54.2,0.0,34.4,EL_Demand_[MY]
VN,MY,,,54.2,0.0,12.7,HTH_Demand_[MY]
VN,MY,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,0.0,3.5,169.6,RE_PV_Openfield_Lim_[VN]
VN,MY,,,0.0,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,0.0,0.5,8.6,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,0.0,0.0,0.0,PP_CO2_[VN]
VN,MY,,,0.0,2.4,133.2,BESS_[VN]
VN,MY,,,0.0,0.5,45.8,EL_to_HTH_[VN]
VN,MY,,,0.0,1.2,20.7,EL_to_NH3_[VN]
VN,MY,,,0.0,5.8,348.7,NH3_Storage_[VN]
VN,MY,,,0.0,0.3,3.4,NH3_to_EL_[VN]
VN,MY,,,0.0,0.1,9.0,NH3_to_HTH_[VN]
VN,MY,,,0.0,0.0,0.0,FF_to_HTH_[VN]
VN,MY,,,0.0,0.0,51.6,EL_Demand_[VN]
VN,MY,,,0.0,0.0,46.8,HTH_Demand_[VN]
VN,MY,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,0.0,3.4,167.5,RE_PV_Openfield_Lim_[MY]
VN,MY,,,0.0,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,0.0,0.0,0.0,PP_CO2_[MY]
VN,MY,,,0.0,4.5,250.5,BESS_[MY]
VN,MY,,,0.0,0.1,12.4,EL_to_HTH_[MY]
VN,MY,,,0.0,0.4,7.2,EL_to_NH3_[MY]
VN,MY,,,0.0,1.8,107.1,NH3_Storage_[MY]
VN,MY,,,0.0,0.0,0.0,NH3_to_EL_[MY]
VN,MY,,,0.0,0.0,2.4,NH3_to_HTH_[MY]
VN,MY,,,0.0,0.0,0.0,FF_to_HTH_[MY]
VN,MY,,,0.0,0.0,34.4,EL_Demand_[MY]
VN,MY,,,0.0,0.0,12.7,HTH_Demand_[MY]
VN,MY,,,25.6,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,25.6,1.4,66.4,RE_PV_Openfield_Lim_[VN]
VN,MY,,,25.6,9.4,195.7,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,25.6,1.6,30.3,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,25.6,0.4,7.0,PP_CO2_[VN]
VN,MY,,,25.6,0.9,50.6,BESS_[VN]
VN,MY,,,25.6,0.5,45.8,EL_to_HTH_[VN]
VN,MY,,,25.6,0.2,3.7,EL_to_NH3_[VN]
VN,MY,,,25.6,0.7,39.5,NH3_Storage_[VN]
VN,MY,,,25.6,0.4,4.8,NH3_to_EL_[VN]
VN,MY,,,25.6,0.0,1.2,NH3_to_HTH_[VN]
VN,MY,,,25.6,1.7,45.6,FF_to_HTH_[VN]
VN,MY,,,25.6,0.0,51.6,EL_Demand_[VN]
VN,MY,,,25.6,0.0,46.8,HTH_Demand_[VN]
VN,MY,,,25.6,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,25.6,2.5,119.4,RE_PV_Openfield_Lim_[MY]
VN,MY,,,25.6,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,25.6,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,25.6,0.3,4.3,PP_CO2_[MY]
VN,MY,,,25.6,3.5,192.4,BESS_[MY]
VN,MY,,,25.6,0.1,12.4,EL_to_HTH_[MY]
VN,MY,,,25.6,0.0,0.1,EL_to_NH3_[MY]
VN,MY,,,25.6,0.0,0.4,NH3_Storage_[MY]
