country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,MY,,,127.4,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,127.4,0.0,RE_PV_Openfield_Lim_[VN]
VN,MY,,,127.4,0.0,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,127.4,7.9,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,127.4,3.1,PP_CO2_[VN]
VN,MY,,,127.4,0.0,BESS_[VN]
VN,MY,,,127.4,0.5,EL_to_HTH_[VN]
VN,MY,,,127.4,0.0,EL_to_NH3_[VN]
VN,MY,,,127.4,0.0,NH3_Storage_[VN]
VN,MY,,,127.4,0.0,NH3_to_EL_[VN]
VN,MY,,,127.4,0.0,NH3_to_HTH_[VN]
VN,MY,,,127.4,3.7,FF_to_HTH_[VN]
VN,MY,,,127.4,0.0,EL_Demand_[VN]
VN,MY,,,127.4,0.0,HTH_Demand_[VN]
VN,MY,,,127.4,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,127.4,1.2,RE_PV_Openfield_Lim_[MY]
VN,MY,,,127.4,0.0,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,127.4,0.0,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,127.4,2.9,PP_CO2_[MY]
VN,MY,,,127.4,0.1,BESS_[MY]
VN,MY,,,127.4,0.1,EL_to_HTH_[MY]
VN,MY,,,127.4,0.0,EL_to_NH3_[MY]
VN,MY,,,127.4,0.0,NH3_Storage_[MY]
VN,MY,,,127.4,0.0,NH3_to_EL_[MY]
VN,MY,,,127.4,0.0,NH3_to_HTH_[MY]
VN,MY,,,127.4,1.7,FF_to_HTH_[MY]
VN,MY,,,127.4,0.0,EL_Demand_[MY]
VN,MY,,,127.4,0.0,HTH_Demand_[MY]
VN,MY,,,127.4,0.0,NH3_Transport_[VN-MY]
VN,MY,,,127.4,1.2,EL_Transport_[VN-MY]
VN,MY,,,108.5,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,108.5,0.0,RE_PV_Openfield_Lim_[VN]
VN,MY,,,108.5,0.0,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,108.5,8.5,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,108.5,2.9,PP_CO2_[VN]
VN,MY,,,108.5,0.0,BESS_[VN]
VN,MY,,,108.5,0.5,EL_to_HTH_[VN]
VN,MY,,,108.5,0.0,EL_to_NH3_[VN]
VN,MY,,,108.5,0.0,NH3_Storage_[VN]
VN,MY,,,108.5,0.0,NH3_to_EL_[VN]
VN,MY,,,108.5,0.0,NH3_to_HTH_[VN]
VN,MY,,,108.5,3.4,FF_to_HTH_[VN]
VN,MY,,,108.5,0.0,EL_Demand_[VN]
VN,MY,,,108.5,0.0,HTH_Demand_[VN]
VN,MY,,,108.5,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,108.5,1.6,RE_PV_Openfield_Lim_[MY]
VN,MY,,,108.5,0.0,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,108.5,0.0,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,108.5,2.6,PP_CO2_[MY]
VN,MY,,,108.5,0.1,BESS_[MY]
VN,MY,,,108.5,0.1,EL_to_HTH_[MY]
VN,MY,,,108.5,0.0,EL_to_NH3_[MY]
VN,MY,,,108.5,0.0,NH3_Storage_[MY]
VN,MY,,,108.5,0.0,NH3_to_EL_[MY]
VN,MY,,,108.5,0.0,NH3_to_HTH_[MY]
VN,MY,,,108.5,1.4,FF_to_HTH_[MY]
VN,MY,,,108.5,0.0,EL_Demand_[MY]
VN,MY,,,108.5,0.0,HTH_Demand_[MY]
VN,MY,,,108.5,0.0,NH3_Transport_[VN-MY]
VN,MY,,,108.5,1.3,EL_Transport_[VN-MY]
VN,MY,,,54.2,0.0,RE_PV_Rooftop_Lim_[VN]
VN,MY,,,54.2,0.0,RE_PV_Openfield_Lim_[VN]
VN,MY,,,54.2,6.0,RE_WIND_Onshore_Lim_[VN]
VN,MY,,,54.2,5.5,RE_WIND_Offshore_Lim_[VN]
VN,MY,,,54.2,0.7,PP_CO2_[VN]
VN,MY,,,54.2,0.0,BESS_[VN]
VN,MY,,,54.2,0.5,EL_to_HTH_[VN]
VN,MY,,,54.2,0.0,EL_to_NH3_[VN]
VN,MY,,,54.2,0.0,NH3_Storage_[VN]
VN,MY,,,54.2,0.0,NH3_to_EL_[VN]
VN,MY,,,54.2,0.0,NH3_to_HTH_[VN]
VN,MY,,,54.2,2.4,FF_to_HTH_[VN]
VN,MY,,,54.2,0.0,EL_Demand_[VN]
VN,MY,,,54.2,0.0,HTH_Demand_[VN]
VN,MY,,,54.2,0.0,RE_PV_Rooftop_Lim_[MY]
VN,MY,,,54.2,2.6,RE_PV_Openfield_Lim_[MY]
VN,MY,,,54.2,0.4,RE_WIND_Onshore_Lim_[MY]
VN,MY,,,54.2,0.0,RE_WIND_Offshore_Lim_[MY]
VN,MY,,,54.2,2.8,PP_CO2_[MY]
VN,MY,,,54.2,1.0,BESS_[MY]
