country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ZA,EG,NG,,80.0,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,NG,,80.0,0.9,28.2,RE_PV_Openfield_Lim_[ZA]
ZA,EG,NG,,80.0,6.7,126.5,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,NG,,80.0,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,NG,,80.0,0.9,15.7,PP_CO2_[ZA]
ZA,EG,NG,,80.0,0.7,36.2,BESS_[ZA]
ZA,EG,NG,,80.0,0.3,27.8,EL_to_HTH_[ZA]
ZA,EG,NG,,80.0,0.0,0.0,EL_to_NH3_[ZA]
ZA,EG,NG,,80.0,0.0,0.0,NH3_Storage_[ZA]
ZA,EG,NG,,80.0,0.0,0.0,NH3_to_EL_[ZA]
ZA,EG,NG,,80.0,0.0,0.0,NH3_to_HTH_[ZA]
ZA,EG,NG,,80.0,1.7,27.5,FF_to_HTH_[ZA]
ZA,EG,NG,,80.0,0.0,45.5,EL_Demand_[ZA]
ZA,EG,NG,,80.0,0.0,28.0,HTH_Demand_[ZA]
ZA,EG,NG,,80.0,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
ZA,EG,NG,,80.0,1.6,50.6,RE_PV_Openfield_Lim_[EG]
ZA,EG,NG,,80.0,6.6,139.1,RE_WIND_Onshore_Lim_[EG]
ZA,EG,NG,,80.0,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
ZA,EG,NG,,80.0,1.6,28.5,PP_CO2_[EG]
ZA,EG,NG,,80.0,0.4,22.0,BESS_[EG]
ZA,EG,NG,,80.0,0.5,40.3,EL_to_HTH_[EG]
ZA,EG,NG,,80.0,0.0,0.1,EL_to_NH3_[EG]
ZA,EG,NG,,80.0,0.0,0.2,NH3_Storage_[EG]
ZA,EG,NG,,80.0,0.0,0.0,NH3_to_EL_[EG]
ZA,EG,NG,,80.0,0.0,0.1,NH3_to_HTH_[EG]
ZA,EG,NG,,80.0,1.8,39.4,FF_to_HTH_[EG]
ZA,EG,NG,,80.0,0.0,76.9,EL_Demand_[EG]
ZA,EG,NG,,80.0,0.0,41.1,HTH_Demand_[EG]
ZA,EG,NG,,80.0,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
ZA,EG,NG,,80.0,3.2,199.7,RE_PV_Openfield_Lim_[NG]
ZA,EG,NG,,80.0,8.6,171.5,RE_WIND_Onshore_Lim_[NG]
ZA,EG,NG,,80.0,0.0,0.0,RE_WIND_Offshore_Lim_[NG]
ZA,EG,NG,,80.0,3.1,33.9,PP_CO2_[NG]
ZA,EG,NG,,80.0,2.2,123.9,BESS_[NG]
ZA,EG,NG,,80.0,0.5,44.6,EL_to_HTH_[NG]
ZA,EG,NG,,80.0,0.0,0.0,EL_to_NH3_[NG]
ZA,EG,NG,,80.0,0.0,0.0,NH3_Storage_[NG]
ZA,EG,NG,,80.0,0.0,0.0,NH3_to_EL_[NG]
ZA,EG,NG,,80.0,0.0,0.0,NH3_to_HTH_[NG]
ZA,EG,NG,,80.0,3.1,46.6,FF_to_HTH_[NG]
ZA,EG,NG,,80.0,0.0,91.3,EL_Demand_[NG]
ZA,EG,NG,,80.0,0.0,47.1,HTH_Demand_[NG]
ZA,EG,NG,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,NG,,0.0,2.1,64.4,RE_PV_Openfield_Lim_[ZA]
ZA,EG,NG,,0.0,9.7,183.4,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,NG,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,NG,,0.0,0.0,0.0,PP_CO2_[ZA]
ZA,EG,NG,,0.0,0.9,48.2,BESS_[ZA]
ZA,EG,NG,,0.0,0.3,27.6,EL_to_HTH_[ZA]
ZA,EG,NG,,0.0,0.6,10.7,EL_to_NH3_[ZA]
ZA,EG,NG,,0.0,2.4,142.0,NH3_Storage_[ZA]
ZA,EG,NG,,0.0,0.1,1.6,NH3_to_EL_[ZA]
ZA,EG,NG,,0.0,0.1,5.3,NH3_to_HTH_[ZA]
ZA,EG,NG,,0.0,0.0,0.0,FF_to_HTH_[ZA]
