country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ZA,EG,NG,,71.5,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,NG,,71.5,1.0,RE_PV_Openfield_Lim_[ZA]
ZA,EG,NG,,71.5,7.0,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,NG,,71.5,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,NG,,71.5,0.8,PP_CO2_[ZA]
ZA,EG,NG,,71.5,0.3,BESS_[ZA]
ZA,EG,NG,,71.5,0.3,EL_to_HTH_[ZA]
ZA,EG,NG,,71.5,0.0,EL_to_NH3_[ZA]
ZA,EG,NG,,71.5,0.0,NH3_Storage_[ZA]
ZA,EG,NG,,71.5,0.0,NH3_to_EL_[ZA]
ZA,EG,NG,,71.5,0.0,NH3_to_HTH_[ZA]
ZA,EG,NG,,71.5,1.8,FF_to_HTH_[ZA]
ZA,EG,NG,,71.5,0.0,EL_Demand_[ZA]
ZA,EG,NG,,71.5,0.0,HTH_Demand_[ZA]
ZA,EG,NG,,71.5,0.0,RE_PV_Rooftop_Lim_[EG]
ZA,EG,NG,,71.5,1.5,RE_PV_Openfield_Lim_[EG]
ZA,EG,NG,,71.5,9.2,RE_WIND_Onshore_Lim_[EG]
ZA,EG,NG,,71.5,0.0,RE_WIND_Offshore_Lim_[EG]
ZA,EG,NG,,71.5,0.0,PP_CO2_[EG]
ZA,EG,NG,,71.5,0.1,BESS_[EG]
ZA,EG,NG,,71.5,0.5,EL_to_HTH_[EG]
ZA,EG,NG,,71.5,0.0,EL_to_NH3_[EG]
ZA,EG,NG,,71.5,0.0,NH3_Storage_[EG]
ZA,EG,NG,,71.5,0.0,NH3_to_EL_[EG]
ZA,EG,NG,,71.5,0.0,NH3_to_HTH_[EG]
ZA,EG,NG,,71.5,1.7,FF_to_HTH_[EG]
ZA,EG,NG,,71.5,0.0,EL_Demand_[EG]
ZA,EG,NG,,71.5,0.0,HTH_Demand_[EG]
ZA,EG,NG,,71.5,0.0,RE_PV_Rooftop_Lim_[NG]
ZA,EG,NG,,71.5,2.9,RE_PV_Openfield_Lim_[NG]
ZA,EG,NG,,71.5,10.0,RE_WIND_Onshore_Lim_[NG]
ZA,EG,NG,,71.5,0.0,RE_WIND_Offshore_Lim_[NG]
ZA,EG,NG,,71.5,1.3,PP_CO2_[NG]
ZA,EG,NG,,71.5,1.1,BESS_[NG]
ZA,EG,NG,,71.5,0.5,EL_to_HTH_[NG]
ZA,EG,NG,,71.5,0.0,EL_to_NH3_[NG]
ZA,EG,NG,,71.5,0.0,NH3_Storage_[NG]
ZA,EG,NG,,71.5,0.0,NH3_to_EL_[NG]
ZA,EG,NG,,71.5,0.0,NH3_to_HTH_[NG]
ZA,EG,NG,,71.5,3.8,FF_to_HTH_[NG]
ZA,EG,NG,,71.5,0.0,EL_Demand_[NG]
ZA,EG,NG,,71.5,0.0,HTH_Demand_[NG]
ZA,EG,NG,,71.5,0.0,NH3_Transport_[ZA-EG]
ZA,EG,NG,,71.5,0.0,EL_Transport_[ZA-EG]
ZA,EG,NG,,71.5,0.0,NH3_Transport_[ZA-NG]
ZA,EG,NG,,71.5,0.8,EL_Transport_[ZA-NG]
ZA,EG,NG,,71.5,0.0,NH3_Transport_[EG-NG]
ZA,EG,NG,,71.5,3.7,EL_Transport_[EG-NG]
ZA,EG,NG,,28.6,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,NG,,28.6,1.3,RE_PV_Openfield_Lim_[ZA]
ZA,EG,NG,,28.6,8.3,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,NG,,28.6,0.2,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,NG,,28.6,0.0,PP_CO2_[ZA]
ZA,EG,NG,,28.6,0.4,BESS_[ZA]
ZA,EG,NG,,28.6,0.3,EL_to_HTH_[ZA]
ZA,EG,NG,,28.6,0.3,EL_to_NH3_[ZA]
ZA,EG,NG,,28.6,0.4,NH3_Storage_[ZA]
ZA,EG,NG,,28.6,0.3,NH3_to_EL_[ZA]
ZA,EG,NG,,28.6,0.0,NH3_to_HTH_[ZA]
ZA,EG,NG,,28.6,0.9,FF_to_HTH_[ZA]
ZA,EG,NG,,28.6,0.0,EL_Demand_[ZA]
ZA,EG,NG,,28.6,0.0,HTH_Demand_[ZA]
ZA,EG,NG,,28.6,0.0,RE_PV_Rooftop_Lim_[EG]
ZA,EG,NG,,28.6,1.9,RE_PV_Openfield_Lim_[EG]
ZA,EG,NG,,28.6,9.9,RE_WIND_Onshore_Lim_[EG]
ZA,EG,NG,,28.6,0.0,RE_WIND_Offshore_Lim_[EG]
ZA,EG,NG,,28.6,0.0,PP_CO2_[EG]
ZA,EG,NG,,28.6,0.0,BESS_[EG]
ZA,EG,NG,,28.6,0.5,EL_to_HTH_[EG]
ZA,EG,NG,,28.6,0.2,EL_to_NH3_[EG]
ZA,EG,NG,,28.6,0.2,NH3_Storage_[EG]
ZA,EG,NG,,28.6,0.0,NH3_to_EL_[EG]
ZA,EG,NG,,28.6,0.0,NH3_to_HTH_[EG]
ZA,EG,NG,,28.6,0.6,FF_to_HTH_[EG]
ZA,EG,NG,,28.6,0.0,EL_Demand_[EG]
ZA,EG,NG,,28.6,0.0,HTH_Demand_[EG]
ZA,EG,NG,,28.6,0.0,RE_PV_Rooftop_Lim_[NG]
ZA,EG,NG,,28.6,4.1,RE_PV_Openfield_Lim_[NG]
ZA,EG,NG,,28.6,12.4,RE_WIND_Onshore_Lim_[NG]
ZA,EG,NG,,28.6,0.0,RE_WIND_Offshore_Lim_[NG]
ZA,EG,NG,,28.6,0.2,PP_CO2_[NG]
ZA,EG,NG,,28.6,1.5,BESS_[NG]
ZA,EG,NG,,28.6,0.5,EL_to_HTH_[NG]
ZA,EG,NG,,28.6,0.1,EL_to_NH3_[NG]
ZA,EG,NG,,28.6,0.1,NH3_Storage_[NG]
ZA,EG,NG,,28.6,0.0,NH3_to_EL_[NG]
ZA,EG,NG,,28.6,0.0,NH3_to_HTH_[NG]
ZA,EG,NG,,28.6,2.2,FF_to_HTH_[NG]
ZA,EG,NG,,28.6,0.0,EL_Demand_[NG]
ZA,EG,NG,,28.6,0.0,HTH_Demand_[NG]
ZA,EG,NG,,28.6,0.0,NH3_Transport_[ZA-EG]
ZA,EG,NG,,28.6,0.0,EL_Transport_[ZA-EG]
ZA,EG,NG,,28.6,0.0,NH3_Transport_[ZA-NG]
ZA,EG,NG,,28.6,0.7,EL_Transport_[ZA-NG]
ZA,EG,NG,,28.6,0.0,NH3_Transport_[EG-NG]
ZA,EG,NG,,28.6,4.3,EL_Transport_[EG-NG]
ZA,EG,NG,,80.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,NG,,80.0,0.9,RE_PV_Openfield_Lim_[ZA]
ZA,EG,NG,,80.0,6.9,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,NG,,80.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,NG,,80.0,0.9,PP_CO2_[ZA]
ZA,EG,NG,,80.0,0.2,BESS_[ZA]
ZA,EG,NG,,80.0,0.3,EL_to_HTH_[ZA]
ZA,EG,NG,,80.0,0.0,EL_to_NH3_[ZA]
ZA,EG,NG,,80.0,0.0,NH3_Storage_[ZA]
ZA,EG,NG,,80.0,0.0,NH3_to_EL_[ZA]
ZA,EG,NG,,80.0,0.0,NH3_to_HTH_[ZA]
ZA,EG,NG,,80.0,1.9,FF_to_HTH_[ZA]
ZA,EG,NG,,80.0,0.0,EL_Demand_[ZA]
ZA,EG,NG,,80.0,0.0,HTH_Demand_[ZA]
ZA,EG,NG,,80.0,0.0,RE_PV_Rooftop_Lim_[EG]
ZA,EG,NG,,80.0,1.5,RE_PV_Openfield_Lim_[EG]
ZA,EG,NG,,80.0,8.7,RE_WIND_Onshore_Lim_[EG]
ZA,EG,NG,,80.0,0.0,RE_WIND_Offshore_Lim_[EG]
ZA,EG,NG,,80.0,0.0,PP_CO2_[EG]
ZA,EG,NG,,80.0,0.1,BESS_[EG]
ZA,EG,NG,,80.0,0.4,EL_to_HTH_[EG]
ZA,EG,NG,,80.0,0.0,EL_to_NH3_[EG]
ZA,EG,NG,,80.0,0.0,NH3_Storage_[EG]
ZA,EG,NG,,80.0,0.0,NH3_to_EL_[EG]
ZA,EG,NG,,80.0,0.0,NH3_to_HTH_[EG]
ZA,EG,NG,,80.0,1.9,FF_to_HTH_[EG]
ZA,EG,NG,,80.0,0.0,EL_Demand_[EG]
ZA,EG,NG,,80.0,0.0,HTH_Demand_[EG]
ZA,EG,NG,,80.0,0.0,RE_PV_Rooftop_Lim_[NG]
ZA,EG,NG,,80.0,2.7,RE_PV_Openfield_Lim_[NG]
ZA,EG,NG,,80.0,9.7,RE_WIND_Onshore_Lim_[NG]
ZA,EG,NG,,80.0,0.0,RE_WIND_Offshore_Lim_[NG]
ZA,EG,NG,,80.0,1.5,PP_CO2_[NG]
ZA,EG,NG,,80.0,1.1,BESS_[NG]
ZA,EG,NG,,80.0,0.5,EL_to_HTH_[NG]
ZA,EG,NG,,80.0,0.0,EL_to_NH3_[NG]
ZA,EG,NG,,80.0,0.0,NH3_Storage_[NG]
ZA,EG,NG,,80.0,0.0,NH3_to_EL_[NG]
ZA,EG,NG,,80.0,0.0,NH3_to_HTH_[NG]
ZA,EG,NG,,80.0,4.1,FF_to_HTH_[NG]
ZA,EG,NG,,80.0,0.0,EL_Demand_[NG]
ZA,EG,NG,,80.0,0.0,HTH_Demand_[NG]
ZA,EG,NG,,80.0,0.0,NH3_Transport_[ZA-EG]
ZA,EG,NG,,80.0,0.0,EL_Transport_[ZA-EG]
ZA,EG,NG,,80.0,0.0,NH3_Transport_[ZA-NG]
ZA,EG,NG,,80.0,0.9,EL_Transport_[ZA-NG]
ZA,EG,NG,,80.0,0.0,NH3_Transport_[EG-NG]
ZA,EG,NG,,80.0,3.5,EL_Transport_[EG-NG]
ZA,EG,NG,,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,NG,,0.0,1.5,RE_PV_Openfield_Lim_[ZA]
ZA,EG,NG,,0.0,9.6,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,NG,,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,NG,,0.0,0.0,PP_CO2_[ZA]
ZA,EG,NG,,0.0,0.2,BESS_[ZA]
ZA,EG,NG,,0.0,0.3,EL_to_HTH_[ZA]
ZA,EG,NG,,0.0,0.5,EL_to_NH3_[ZA]
ZA,EG,NG,,0.0,1.3,NH3_Storage_[ZA]
ZA,EG,NG,,0.0,0.1,NH3_to_EL_[ZA]
ZA,EG,NG,,0.0,0.1,NH3_to_HTH_[ZA]
ZA,EG,NG,,0.0,0.0,FF_to_HTH_[ZA]
ZA,EG,NG,,0.0,0.0,EL_Demand_[ZA]
ZA,EG,NG,,0.0,0.0,HTH_Demand_[ZA]
ZA,EG,NG,,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
ZA,EG,NG,,0.0,2.4,RE_PV_Openfield_Lim_[EG]
