country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ZA,EG,KE,,34.6,3.1,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,KE,,34.6,0.1,RE_PV_Openfield_Lim_[ZA]
ZA,EG,KE,,34.6,6.1,RE_WIND_Onshore_Lim_[ZA]
ZA,EG,KE,,34.6,1.7,RE_WIND_Offshore_Lim_[ZA]
ZA,EG,KE,,34.6,0.5,PP_CO2_[ZA]
ZA,EG,KE,,34.6,0.4,BESS_[ZA]
ZA,EG,KE,,34.6,0.3,EL_to_HTH_[ZA]
ZA,EG,KE,,34.6,0.0,EL_to_NH3_[ZA]
ZA,EG,KE,,34.6,0.0,NH3_Storage_[ZA]
ZA,EG,KE,,34.6,0.1,NH3_to_EL_[ZA]
ZA,EG,KE,,34.6,0.0,NH3_to_HTH_[ZA]
ZA,EG,KE,,34.6,1.5,FF_to_HTH_[ZA]
ZA,EG,KE,,34.6,0.0,EL_Demand_[ZA]
ZA,EG,KE,,34.6,0.0,HTH_Demand_[ZA]
ZA,EG,KE,,34.6,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,EG,KE,,34.6,0.2,RE_PV_Openfield_Lim_[KE]
ZA,EG,KE,,34.6,1.5,RE_WIND_Onshore_Lim_[KE]
ZA,EG,KE,,34.6,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,EG,KE,,34.6,0.5,PP_CO2_[KE]
ZA,EG,KE,,34.6,0.1,BESS_[KE]
ZA,EG,KE,,34.6,0.1,EL_to_HTH_[KE]
ZA,EG,KE,,34.6,0.0,EL_to_NH3_[KE]
ZA,EG,KE,,34.6,0.0,NH3_Storage_[KE]
ZA,EG,KE,,34.6,0.0,NH3_to_EL_[KE]
ZA,EG,KE,,34.6,0.0,NH3_to_HTH_[KE]
ZA,EG,KE,,34.6,0.4,FF_to_HTH_[KE]
ZA,EG,KE,,34.6,0.0,EL_Demand_[KE]
ZA,EG,KE,,34.6,0.0,HTH_Demand_[KE]
ZA,EG,KE,,34.6,3.3,RE_PV_Rooftop_Lim_[EG]
ZA,EG,KE,,34.6,0.9,RE_PV_Openfield_Lim_[EG]
