country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ZA,KE,,,26.7,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,26.7,0.5,16.3,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,26.7,6.6,124.2,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,26.7,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,26.7,1.0,16.7,PP_CO2_[ZA]
ZA,KE,,,26.7,0.6,33.1,BESS_[ZA]
ZA,KE,,,26.7,0.3,27.7,EL_to_HTH_[ZA]
ZA,KE,,,26.7,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,26.7,0.0,0.0,NH3_Storage_[ZA]
ZA,KE,,,26.7,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,26.7,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,26.7,2.0,27.6,FF_to_HTH_[ZA]
ZA,KE,,,26.7,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,26.7,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,26.7,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,26.7,0.2,11.1,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,26.7,1.1,21.0,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,26.7,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,26.7,0.6,7.6,PP_CO2_[KE]
ZA,KE,,,26.7,0.1,5.2,BESS_[KE]
ZA,KE,,,26.7,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,26.7,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,26.7,0.0,0.0,NH3_Storage_[KE]
ZA,KE,,,26.7,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,26.7,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,26.7,0.3,5.6,FF_to_HTH_[KE]
ZA,KE,,,26.7,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,26.7,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,0.0,2.1,64.4,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,0.0,9.7,183.4,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,0.0,0.0,0.0,PP_CO2_[ZA]
ZA,KE,,,0.0,0.9,48.2,BESS_[ZA]
ZA,KE,,,0.0,0.3,27.6,EL_to_HTH_[ZA]
ZA,KE,,,0.0,0.6,10.7,EL_to_NH3_[ZA]
ZA,KE,,,0.0,2.4,142.0,NH3_Storage_[ZA]
ZA,KE,,,0.0,0.1,1.6,NH3_to_EL_[ZA]
ZA,KE,,,0.0,0.1,5.3,NH3_to_HTH_[ZA]
ZA,KE,,,0.0,0.0,0.0,FF_to_HTH_[ZA]
ZA,KE,,,0.0,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,0.0,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,0.0,0.6,39.9,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,0.0,1.3,25.0,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,0.0,0.0,0.0,PP_CO2_[KE]
ZA,KE,,,0.0,0.8,46.9,BESS_[KE]
ZA,KE,,,0.0,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,0.0,0.1,2.0,EL_to_NH3_[KE]
ZA,KE,,,0.0,0.8,50.6,NH3_Storage_[KE]
ZA,KE,,,0.0,0.0,0.6,NH3_to_EL_[KE]
ZA,KE,,,0.0,0.0,1.1,NH3_to_HTH_[KE]
ZA,KE,,,0.0,0.0,0.0,FF_to_HTH_[KE]
ZA,KE,,,0.0,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,0.0,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,4.3,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,4.3,1.5,48.4,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,4.3,8.8,167.1,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,4.3,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,4.3,0.0,0.0,PP_CO2_[ZA]
ZA,KE,,,4.3,0.8,44.7,BESS_[ZA]
ZA,KE,,,4.3,0.3,27.7,EL_to_HTH_[ZA]
ZA,KE,,,4.3,0.3,5.4,EL_to_NH3_[ZA]
ZA,KE,,,4.3,0.6,37.3,NH3_Storage_[ZA]
ZA,KE,,,4.3,0.2,2.6,NH3_to_EL_[ZA]
ZA,KE,,,4.3,0.0,2.2,NH3_to_HTH_[ZA]
ZA,KE,,,4.3,0.5,21.0,FF_to_HTH_[ZA]
ZA,KE,,,4.3,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,4.3,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,4.3,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,4.3,0.3,18.6,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,4.3,1.3,26.6,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,4.3,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,4.3,0.7,6.9,PP_CO2_[KE]
ZA,KE,,,4.3,0.1,6.6,BESS_[KE]
ZA,KE,,,4.3,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,4.3,0.0,0.7,EL_to_NH3_[KE]
ZA,KE,,,4.3,0.1,3.4,NH3_Storage_[KE]
ZA,KE,,,4.3,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,4.3,0.0,0.6,NH3_to_HTH_[KE]
ZA,KE,,,4.3,0.0,2.5,FF_to_HTH_[KE]
ZA,KE,,,4.3,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,4.3,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,8.5,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,8.5,1.4,43.1,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,8.5,8.0,152.2,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,8.5,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,8.5,0.1,1.8,PP_CO2_[ZA]
ZA,KE,,,8.5,1.0,52.9,BESS_[ZA]
ZA,KE,,,8.5,0.3,27.7,EL_to_HTH_[ZA]
ZA,KE,,,8.5,0.2,3.4,EL_to_NH3_[ZA]
ZA,KE,,,8.5,0.2,13.8,NH3_Storage_[ZA]
ZA,KE,,,8.5,0.2,2.2,NH3_to_EL_[ZA]
ZA,KE,,,8.5,0.0,1.8,NH3_to_HTH_[ZA]
ZA,KE,,,8.5,0.9,27.5,FF_to_HTH_[ZA]
ZA,KE,,,8.5,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,8.5,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,8.5,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,8.5,0.3,17.6,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,8.5,1.2,24.2,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,8.5,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,8.5,0.5,6.5,PP_CO2_[KE]
ZA,KE,,,8.5,0.2,8.4,BESS_[KE]
ZA,KE,,,8.5,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,8.5,0.0,0.2,EL_to_NH3_[KE]
ZA,KE,,,8.5,0.0,0.9,NH3_Storage_[KE]
ZA,KE,,,8.5,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,8.5,0.0,0.1,NH3_to_HTH_[KE]
ZA,KE,,,8.5,0.2,4.9,FF_to_HTH_[KE]
ZA,KE,,,8.5,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,8.5,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,12.8,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,12.8,1.2,36.8,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,12.8,7.5,142.7,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,12.8,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,12.8,0.4,7.0,PP_CO2_[ZA]
ZA,KE,,,12.8,1.0,53.1,BESS_[ZA]
ZA,KE,,,12.8,0.3,27.8,EL_to_HTH_[ZA]
ZA,KE,,,12.8,0.1,1.8,EL_to_NH3_[ZA]
ZA,KE,,,12.8,0.1,5.5,NH3_Storage_[ZA]
ZA,KE,,,12.8,0.1,1.0,NH3_to_EL_[ZA]
ZA,KE,,,12.8,0.0,0.4,NH3_to_HTH_[ZA]
ZA,KE,,,12.8,1.1,27.5,FF_to_HTH_[ZA]
ZA,KE,,,12.8,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,12.8,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,12.8,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,12.8,0.2,14.5,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,12.8,1.2,23.3,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,12.8,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,12.8,0.5,6.6,PP_CO2_[KE]
ZA,KE,,,12.8,0.2,8.4,BESS_[KE]
ZA,KE,,,12.8,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,12.8,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,12.8,0.0,0.1,NH3_Storage_[KE]
ZA,KE,,,12.8,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,12.8,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,12.8,0.3,5.6,FF_to_HTH_[KE]
ZA,KE,,,12.8,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,12.8,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,17.0,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,17.0,1.0,32.0,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,17.0,7.2,136.8,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,17.0,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,17.0,0.7,12.9,PP_CO2_[ZA]
ZA,KE,,,17.0,0.8,42.1,BESS_[ZA]
ZA,KE,,,17.0,0.3,27.8,EL_to_HTH_[ZA]
ZA,KE,,,17.0,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,17.0,0.0,0.2,NH3_Storage_[ZA]
ZA,KE,,,17.0,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,17.0,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,17.0,1.4,27.5,FF_to_HTH_[ZA]
ZA,KE,,,17.0,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,17.0,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,17.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,17.0,0.2,12.3,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,17.0,1.1,22.1,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,17.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,17.0,0.5,6.9,PP_CO2_[KE]
ZA,KE,,,17.0,0.1,7.9,BESS_[KE]
ZA,KE,,,17.0,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,17.0,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,17.0,0.0,0.0,NH3_Storage_[KE]
ZA,KE,,,17.0,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,17.0,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,17.0,0.3,5.6,FF_to_HTH_[KE]
ZA,KE,,,17.0,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,17.0,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,21.3,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,21.3,1.0,29.9,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,21.3,6.7,127.1,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,21.3,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,21.3,0.9,15.5,PP_CO2_[ZA]
ZA,KE,,,21.3,0.6,36.0,BESS_[ZA]
ZA,KE,,,21.3,0.3,27.8,EL_to_HTH_[ZA]
ZA,KE,,,21.3,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,21.3,0.0,0.1,NH3_Storage_[ZA]
ZA,KE,,,21.3,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,21.3,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,21.3,1.7,27.5,FF_to_HTH_[ZA]
ZA,KE,,,21.3,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,21.3,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,21.3,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,21.3,0.2,11.6,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,21.3,1.1,21.3,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,21.3,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,21.3,0.5,7.4,PP_CO2_[KE]
ZA,KE,,,21.3,0.1,5.8,BESS_[KE]
ZA,KE,,,21.3,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,21.3,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,21.3,0.0,0.0,NH3_Storage_[KE]
ZA,KE,,,21.3,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,21.3,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,21.3,0.3,5.6,FF_to_HTH_[KE]
ZA,KE,,,21.3,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,21.3,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,25.6,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,25.6,0.6,18.9,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,25.6,6.6,124.5,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,25.6,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,25.6,1.0,16.0,PP_CO2_[ZA]
ZA,KE,,,25.6,0.6,35.7,BESS_[ZA]
ZA,KE,,,25.6,0.3,27.7,EL_to_HTH_[ZA]
ZA,KE,,,25.6,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,25.6,0.0,0.0,NH3_Storage_[ZA]
ZA,KE,,,25.6,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,25.6,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,25.6,1.9,27.6,FF_to_HTH_[ZA]
ZA,KE,,,25.6,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,25.6,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,25.6,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,25.6,0.2,11.1,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,25.6,1.1,21.0,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,25.6,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,25.6,0.6,7.6,PP_CO2_[KE]
ZA,KE,,,25.6,0.1,5.3,BESS_[KE]
ZA,KE,,,25.6,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,25.6,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,25.6,0.0,0.0,NH3_Storage_[KE]
ZA,KE,,,25.6,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,25.6,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,25.6,0.3,5.6,FF_to_HTH_[KE]
ZA,KE,,,25.6,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,25.6,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,29.8,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,29.8,0.6,17.9,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,29.8,6.3,118.7,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,29.8,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,29.8,1.2,19.5,PP_CO2_[ZA]
ZA,KE,,,29.8,0.4,24.5,BESS_[ZA]
ZA,KE,,,29.8,0.3,27.7,EL_to_HTH_[ZA]
ZA,KE,,,29.8,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,29.8,0.0,0.0,NH3_Storage_[ZA]
ZA,KE,,,29.8,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,29.8,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,29.8,2.1,27.6,FF_to_HTH_[ZA]
ZA,KE,,,29.8,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,29.8,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,29.8,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,29.8,0.2,11.4,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,29.8,1.0,20.3,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,29.8,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,29.8,0.6,7.6,PP_CO2_[KE]
ZA,KE,,,29.8,0.1,5.4,BESS_[KE]
ZA,KE,,,29.8,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,29.8,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,29.8,0.0,0.0,NH3_Storage_[KE]
ZA,KE,,,29.8,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,29.8,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,29.8,0.3,5.6,FF_to_HTH_[KE]
ZA,KE,,,29.8,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,29.8,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,34.1,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,34.1,0.5,17.0,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,34.1,6.0,112.8,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,34.1,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,34.1,1.4,21.3,PP_CO2_[ZA]
ZA,KE,,,34.1,0.4,20.8,BESS_[ZA]
ZA,KE,,,34.1,0.3,27.5,EL_to_HTH_[ZA]
ZA,KE,,,34.1,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,34.1,0.0,0.0,NH3_Storage_[ZA]
ZA,KE,,,34.1,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,34.1,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,34.1,2.3,27.7,FF_to_HTH_[ZA]
ZA,KE,,,34.1,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,34.1,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,34.1,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,KE,,,34.1,0.2,11.3,RE_PV_Openfield_Lim_[KE]
ZA,KE,,,34.1,1.0,19.9,RE_WIND_Onshore_Lim_[KE]
ZA,KE,,,34.1,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
ZA,KE,,,34.1,0.6,7.5,PP_CO2_[KE]
ZA,KE,,,34.1,0.1,5.6,BESS_[KE]
ZA,KE,,,34.1,0.1,5.7,EL_to_HTH_[KE]
ZA,KE,,,34.1,0.0,0.0,EL_to_NH3_[KE]
ZA,KE,,,34.1,0.0,0.0,NH3_Storage_[KE]
ZA,KE,,,34.1,0.0,0.0,NH3_to_EL_[KE]
ZA,KE,,,34.1,0.0,0.0,NH3_to_HTH_[KE]
ZA,KE,,,34.1,0.4,5.6,FF_to_HTH_[KE]
ZA,KE,,,34.1,0.0,12.2,EL_Demand_[KE]
ZA,KE,,,34.1,0.0,5.8,HTH_Demand_[KE]
ZA,KE,,,34.6,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,KE,,,34.6,0.5,17.0,RE_PV_Openfield_Lim_[ZA]
ZA,KE,,,34.6,6.0,112.8,RE_WIND_Onshore_Lim_[ZA]
ZA,KE,,,34.6,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,KE,,,34.6,1.5,22.3,PP_CO2_[ZA]
ZA,KE,,,34.6,0.3,16.5,BESS_[ZA]
ZA,KE,,,34.6,0.3,27.5,EL_to_HTH_[ZA]
ZA,KE,,,34.6,0.0,0.0,EL_to_NH3_[ZA]
ZA,KE,,,34.6,0.0,0.0,NH3_Storage_[ZA]
ZA,KE,,,34.6,0.0,0.0,NH3_to_EL_[ZA]
ZA,KE,,,34.6,0.0,0.0,NH3_to_HTH_[ZA]
ZA,KE,,,34.6,2.3,27.7,FF_to_HTH_[ZA]
ZA,KE,,,34.6,0.0,45.5,EL_Demand_[ZA]
ZA,KE,,,34.6,0.0,28.0,HTH_Demand_[ZA]
ZA,KE,,,34.6,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
