"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Aug 2019","1","83.38","0.00","5611.965","0.000"
"USEP","01 Aug 2019","2","82.27","0.00","5500.955","0.000"
"USEP","01 Aug 2019","3","82.56","0.00","5468.571","0.000"
"USEP","01 Aug 2019","4","81.78","0.00","5401.640","0.000"
"USEP","01 Aug 2019","5","81.59","0.00","5348.843","0.000"
"USEP","01 Aug 2019","6","73.78","0.00","5302.319","0.000"
"USEP","01 Aug 2019","7","72.39","0.00","5259.478","0.000"
"USEP","01 Aug 2019","8","68.59","0.00","5235.478","0.000"
"USEP","01 Aug 2019","9","68.59","0.00","5232.664","0.000"
"USEP","01 Aug 2019","10","72.40","0.00","5256.024","0.000"
"USEP","01 Aug 2019","11","77.60","0.00","5326.637","0.000"
"USEP","01 Aug 2019","12","82.51","0.00","5467.244","0.000"
"USEP","01 Aug 2019","13","83.30","0.00","5647.431","0.000"
"USEP","01 Aug 2019","14","86.81","0.00","5810.740","0.000"
"USEP","01 Aug 2019","15","88.70","0.00","6008.616","0.000"
"USEP","01 Aug 2019","16","90.99","0.00","6259.914","0.000"
"USEP","01 Aug 2019","17","100.45","0.00","6522.593","0.000"
"USEP","01 Aug 2019","18","108.76","0.00","6692.532","0.000"
"USEP","01 Aug 2019","19","112.19","0.00","6789.969","0.000"
"USEP","01 Aug 2019","20","113.34","0.00","6856.557","0.000"
"USEP","01 Aug 2019","21","127.52","0.00","6920.576","0.000"
"USEP","01 Aug 2019","22","244.98","0.00","6941.082","0.000"
"USEP","01 Aug 2019","23","132.70","0.00","6924.597","0.000"
"USEP","01 Aug 2019","24","118.35","0.00","6845.758","0.000"
"USEP","01 Aug 2019","25","117.16","0.00","6793.021","0.000"
"USEP","01 Aug 2019","26","117.23","0.00","6800.193","0.000"
"USEP","01 Aug 2019","27","120.21","0.00","6858.863","0.000"
"USEP","01 Aug 2019","28","127.57","0.00","6893.484","0.000"
"USEP","01 Aug 2019","29","281.11","0.00","6890.915","0.000"
"USEP","01 Aug 2019","30","135.09","0.00","6873.565","0.000"
"USEP","01 Aug 2019","31","128.61","0.00","6871.582","0.000"
"USEP","01 Aug 2019","32","122.42","0.00","6886.039","0.000"
"USEP","01 Aug 2019","33","122.41","0.00","6883.291","0.000"
"USEP","01 Aug 2019","34","279.72","0.00","6853.948","0.000"
"USEP","01 Aug 2019","35","187.83","0.00","6785.079","0.000"
"USEP","01 Aug 2019","36","116.25","0.00","6668.259","0.000"
"USEP","01 Aug 2019","37","106.11","0.00","6586.771","0.000"
"USEP","01 Aug 2019","38","111.11","0.00","6604.206","0.000"
"USEP","01 Aug 2019","39","111.13","0.00","6613.102","0.000"
"USEP","01 Aug 2019","40","110.83","0.00","6599.996","0.000"
"USEP","01 Aug 2019","41","111.10","0.00","6557.199","0.000"
"USEP","01 Aug 2019","42","111.10","0.00","6531.261","0.000"
"USEP","01 Aug 2019","43","111.08","0.00","6479.657","0.000"
"USEP","01 Aug 2019","44","107.20","0.00","6370.223","0.000"
"USEP","01 Aug 2019","45","103.84","0.00","6234.691","0.000"
"USEP","01 Aug 2019","46","100.71","0.00","6108.354","0.000"
"USEP","01 Aug 2019","47","88.60","0.00","5971.520","0.000"
"USEP","01 Aug 2019","48","88.21","0.00","5855.410","0.000"
"USEP","02 Aug 2019","1","86.34","0.00","5747.392","0.000"
"USEP","02 Aug 2019","2","83.38","0.00","5636.735","0.000"
"USEP","02 Aug 2019","3","82.73","0.00","5526.536","0.000"
"USEP","02 Aug 2019","4","82.20","0.00","5451.265","0.000"
"USEP","02 Aug 2019","5","81.99","0.00","5401.326","0.000"
"USEP","02 Aug 2019","6","80.13","0.00","5353.505","0.000"
"USEP","02 Aug 2019","7","76.48","0.00","5313.343","0.000"
"USEP","02 Aug 2019","8","75.58","0.00","5291.663","0.000"
"USEP","02 Aug 2019","9","75.04","0.00","5284.989","0.000"
"USEP","02 Aug 2019","10","75.58","0.00","5302.115","0.000"
"USEP","02 Aug 2019","11","80.79","0.00","5371.576","0.000"
"USEP","02 Aug 2019","12","82.67","0.00","5505.373","0.000"
"USEP","02 Aug 2019","13","83.46","0.00","5683.742","0.000"
"USEP","02 Aug 2019","14","88.76","0.00","5847.791","0.000"
"USEP","02 Aug 2019","15","89.66","0.00","6038.456","0.000"
"USEP","02 Aug 2019","16","97.92","0.00","6297.919","0.000"
"USEP","02 Aug 2019","17","102.57","0.00","6538.721","0.000"
"USEP","02 Aug 2019","18","115.66","0.00","6697.985","0.000"
"USEP","02 Aug 2019","19","118.38","0.00","6806.127","0.000"
"USEP","02 Aug 2019","20","175.17","0.00","6868.147","0.000"
"USEP","02 Aug 2019","21","137.29","0.00","6909.910","0.000"
"USEP","02 Aug 2019","22","190.05","0.00","6922.981","0.000"
"USEP","02 Aug 2019","23","132.75","0.00","6911.695","0.000"
"USEP","02 Aug 2019","24","121.46","0.00","6867.278","0.000"
"USEP","02 Aug 2019","25","117.38","0.00","6817.488","0.000"
"USEP","02 Aug 2019","26","117.38","0.00","6814.794","0.000"
"USEP","02 Aug 2019","27","126.37","0.00","6851.697","0.000"
"USEP","02 Aug 2019","28","172.71","0.00","6876.726","0.000"
"USEP","02 Aug 2019","29","178.37","0.00","6883.281","0.000"
"USEP","02 Aug 2019","30","155.62","0.00","6873.296","0.000"
"USEP","02 Aug 2019","31","128.25","0.00","6875.891","0.000"
"USEP","02 Aug 2019","32","140.75","0.00","6885.955","0.000"
"USEP","02 Aug 2019","33","127.26","0.00","6876.745","0.000"
"USEP","02 Aug 2019","34","122.41","0.00","6847.060","0.000"
"USEP","02 Aug 2019","35","117.33","0.00","6784.527","0.000"
"USEP","02 Aug 2019","36","111.27","0.00","6676.241","0.000"
"USEP","02 Aug 2019","37","110.92","0.00","6595.036","0.000"
"USEP","02 Aug 2019","38","111.15","0.00","6596.169","0.000"
"USEP","02 Aug 2019","39","111.14","0.00","6588.963","0.000"
"USEP","02 Aug 2019","40","109.12","0.00","6552.875","0.000"
"USEP","02 Aug 2019","41","109.11","0.00","6509.060","0.000"
"USEP","02 Aug 2019","42","109.08","0.00","6469.603","0.000"
"USEP","02 Aug 2019","43","107.63","0.00","6419.829","0.000"
"USEP","02 Aug 2019","44","103.21","0.00","6322.084","0.000"
"USEP","02 Aug 2019","45","103.74","0.00","6211.397","0.000"
"USEP","02 Aug 2019","46","101.00","0.00","6111.848","0.000"
"USEP","02 Aug 2019","47","94.28","0.00","6003.094","0.000"
"USEP","02 Aug 2019","48","93.08","0.00","5907.904","0.000"
"USEP","03 Aug 2019","1","81.34","0.00","5799.751","0.000"
"USEP","03 Aug 2019","2","75.88","0.00","5692.663","0.000"
"USEP","03 Aug 2019","3","74.57","0.00","5583.392","0.000"
"USEP","03 Aug 2019","4","73.65","0.00","5502.426","0.000"
"USEP","03 Aug 2019","5","73.86","0.00","5437.602","0.000"
"USEP","03 Aug 2019","6","73.59","0.00","5385.010","0.000"
"USEP","03 Aug 2019","7","64.14","0.00","5341.224","0.000"
"USEP","03 Aug 2019","8","62.16","0.00","5312.204","0.000"
"USEP","03 Aug 2019","9","62.15","0.00","5292.543","0.000"
"USEP","03 Aug 2019","10","62.16","0.00","5300.286","0.000"
"USEP","03 Aug 2019","11","63.92","0.00","5328.113","0.000"
"USEP","03 Aug 2019","12","67.65","0.00","5383.832","0.000"
"USEP","03 Aug 2019","13","73.15","0.00","5448.432","0.000"
"USEP","03 Aug 2019","14","73.76","0.00","5521.431","0.000"
"USEP","03 Aug 2019","15","73.87","0.00","5606.568","0.000"
"USEP","03 Aug 2019","16","76.53","0.00","5778.008","0.000"
"USEP","03 Aug 2019","17","84.33","0.00","6001.697","0.000"
"USEP","03 Aug 2019","18","93.84","0.00","6164.455","0.000"
"USEP","03 Aug 2019","19","100.93","0.00","6281.523","0.000"
"USEP","03 Aug 2019","20","100.99","0.00","6360.661","0.000"
"USEP","03 Aug 2019","21","101.04","0.00","6421.265","0.000"
"USEP","03 Aug 2019","22","101.04","0.00","6440.911","0.000"
"USEP","03 Aug 2019","23","101.05","0.00","6423.760","0.000"
"USEP","03 Aug 2019","24","101.00","0.00","6364.443","0.000"
"USEP","03 Aug 2019","25","97.98","0.00","6320.672","0.000"
"USEP","03 Aug 2019","26","95.94","0.00","6278.318","0.000"
"USEP","03 Aug 2019","27","93.55","0.00","6253.045","0.000"
"USEP","03 Aug 2019","28","93.55","0.00","6254.099","0.000"
"USEP","03 Aug 2019","29","93.38","0.00","6231.108","0.000"
"USEP","03 Aug 2019","30","93.39","0.00","6232.544","0.000"
"USEP","03 Aug 2019","31","93.39","0.00","6199.439","0.000"
"USEP","03 Aug 2019","32","93.40","0.00","6196.611","0.000"
"USEP","03 Aug 2019","33","92.38","0.00","6183.967","0.000"
"USEP","03 Aug 2019","34","86.85","0.00","6148.049","0.000"
"USEP","03 Aug 2019","35","86.60","0.00","6101.406","0.000"
"USEP","03 Aug 2019","36","85.85","0.00","6082.674","0.000"
"USEP","03 Aug 2019","37","86.91","0.00","6106.778","0.000"
"USEP","03 Aug 2019","38","93.39","0.00","6166.199","0.000"
"USEP","03 Aug 2019","39","98.28","0.00","6210.428","0.000"
"USEP","03 Aug 2019","40","100.97","0.00","6228.846","0.000"
"USEP","03 Aug 2019","41","101.91","0.00","6227.206","0.000"
"USEP","03 Aug 2019","42","101.93","0.00","6237.753","0.000"
"USEP","03 Aug 2019","43","101.92","0.00","6222.450","0.000"
"USEP","03 Aug 2019","44","100.99","0.00","6176.820","0.000"
"USEP","03 Aug 2019","45","100.99","0.00","6119.452","0.000"
"USEP","03 Aug 2019","46","97.85","0.00","6042.536","0.000"
"USEP","03 Aug 2019","47","86.80","0.00","5970.685","0.000"
"USEP","03 Aug 2019","48","90.85","0.00","5883.466","0.000"
"USEP","04 Aug 2019","1","81.92","0.00","5774.653","0.000"
"USEP","04 Aug 2019","2","77.98","0.00","5670.382","0.000"
"USEP","04 Aug 2019","3","75.26","0.00","5567.136","0.000"
"USEP","04 Aug 2019","4","74.34","0.00","5479.341","0.000"
"USEP","04 Aug 2019","5","64.14","0.00","5418.398","0.000"
"USEP","04 Aug 2019","6","53.58","0.00","5347.412","0.000"
"USEP","04 Aug 2019","7","53.53","0.00","5298.646","0.000"
"USEP","04 Aug 2019","8","41.06","0.00","5269.259","0.000"
"USEP","04 Aug 2019","9","38.24","0.00","5240.025","0.000"
"USEP","04 Aug 2019","10","39.00","0.00","5244.856","0.000"
"USEP","04 Aug 2019","11","39.00","0.00","5266.853","0.000"
"USEP","04 Aug 2019","12","40.94","0.00","5304.734","0.000"
"USEP","04 Aug 2019","13","53.64","0.00","5345.056","0.000"
"USEP","04 Aug 2019","14","53.66","0.00","5367.312","0.000"
"USEP","04 Aug 2019","15","53.71","0.00","5412.305","0.000"
"USEP","04 Aug 2019","16","59.77","0.00","5476.354","0.000"
"USEP","04 Aug 2019","17","63.92","0.00","5592.850","0.000"
"USEP","04 Aug 2019","18","75.89","0.00","5689.825","0.000"
"USEP","04 Aug 2019","19","78.82","0.00","5787.669","0.000"
"USEP","04 Aug 2019","20","79.65","0.00","5866.697","0.000"
"USEP","04 Aug 2019","21","81.26","0.00","5933.355","0.000"
"USEP","04 Aug 2019","22","82.22","0.00","5968.369","0.000"
"USEP","04 Aug 2019","23","82.24","0.00","5958.240","0.000"
"USEP","04 Aug 2019","24","81.42","0.00","5919.628","0.000"
"USEP","04 Aug 2019","25","81.36","0.00","5900.742","0.000"
"USEP","04 Aug 2019","26","81.36","0.00","5892.770","0.000"
"USEP","04 Aug 2019","27","81.51","0.00","5918.336","0.000"
"USEP","04 Aug 2019","28","82.00","0.00","5943.335","0.000"
"USEP","04 Aug 2019","29","82.00","0.00","5943.370","0.000"
"USEP","04 Aug 2019","30","80.36","0.00","5937.853","0.000"
"USEP","04 Aug 2019","31","80.36","0.00","5932.137","0.000"
"USEP","04 Aug 2019","32","80.36","0.00","5923.718","0.000"
"USEP","04 Aug 2019","33","80.36","0.00","5924.086","0.000"
"USEP","04 Aug 2019","34","80.38","0.00","5914.807","0.000"
"USEP","04 Aug 2019","35","80.46","0.00","5913.505","0.000"
"USEP","04 Aug 2019","36","80.45","0.00","5907.705","0.000"
"USEP","04 Aug 2019","37","82.91","0.00","5960.486","0.000"
"USEP","04 Aug 2019","38","88.98","0.00","6065.880","0.000"
"USEP","04 Aug 2019","39","97.46","0.00","6149.893","0.000"
"USEP","04 Aug 2019","40","100.58","0.00","6181.119","0.000"
"USEP","04 Aug 2019","41","100.98","0.00","6193.122","0.000"
"USEP","04 Aug 2019","42","102.26","0.00","6236.371","0.000"
"USEP","04 Aug 2019","43","101.98","0.00","6232.643","0.000"
"USEP","04 Aug 2019","44","100.99","0.00","6174.753","0.000"
"USEP","04 Aug 2019","45","100.56","0.00","6075.174","0.000"
"USEP","04 Aug 2019","46","92.85","0.00","5992.021","0.000"
"USEP","04 Aug 2019","47","82.62","0.00","5884.932","0.000"
"USEP","04 Aug 2019","48","78.77","0.00","5728.670","0.000"
"USEP","05 Aug 2019","1","74.57","0.00","5605.588","0.000"
"USEP","05 Aug 2019","2","73.65","0.00","5499.961","0.000"
"USEP","05 Aug 2019","3","73.55","0.00","5415.759","0.000"
"USEP","05 Aug 2019","4","72.43","0.00","5339.574","0.000"
"USEP","05 Aug 2019","5","65.69","0.00","5291.311","0.000"
"USEP","05 Aug 2019","6","60.51","0.00","5239.369","0.000"
"USEP","05 Aug 2019","7","60.50","0.00","5219.757","0.000"
"USEP","05 Aug 2019","8","60.49","0.00","5191.841","0.000"
"USEP","05 Aug 2019","9","60.51","0.00","5196.493","0.000"
"USEP","05 Aug 2019","10","60.49","0.00","5218.207","0.000"
"USEP","05 Aug 2019","11","70.59","0.00","5300.092","0.000"
"USEP","05 Aug 2019","12","73.75","0.00","5445.495","0.000"
"USEP","05 Aug 2019","13","74.87","0.00","5637.814","0.000"
"USEP","05 Aug 2019","14","79.12","0.00","5838.408","0.000"
"USEP","05 Aug 2019","15","81.89","0.00","6048.803","0.000"
"USEP","05 Aug 2019","16","90.62","0.00","6321.080","0.000"
"USEP","05 Aug 2019","17","101.00","0.00","6591.592","0.000"
"USEP","05 Aug 2019","18","104.81","0.00","6771.595","0.000"
"USEP","05 Aug 2019","19","108.64","0.00","6878.674","0.000"
"USEP","05 Aug 2019","20","231.80","0.00","6936.808","0.000"
"USEP","05 Aug 2019","21","197.80","0.00","7003.068","0.000"
"USEP","05 Aug 2019","22","197.81","0.00","7000.091","0.000"
"USEP","05 Aug 2019","23","120.34","0.00","6991.726","0.000"
"USEP","05 Aug 2019","24","106.88","0.00","6966.345","0.000"
"USEP","05 Aug 2019","25","105.56","0.00","6913.131","0.000"
"USEP","05 Aug 2019","26","105.43","0.00","6900.378","0.000"
"USEP","05 Aug 2019","27","105.94","0.00","6938.045","0.000"
"USEP","05 Aug 2019","28","106.01","0.00","6964.933","0.000"
"USEP","05 Aug 2019","29","105.92","0.00","6952.881","0.000"
"USEP","05 Aug 2019","30","105.92","0.00","6944.680","0.000"
"USEP","05 Aug 2019","31","106.02","0.00","6964.963","0.000"
"USEP","05 Aug 2019","32","106.02","0.00","6963.442","0.000"
"USEP","05 Aug 2019","33","106.52","0.00","6961.414","0.000"
"USEP","05 Aug 2019","34","106.02","0.00","6930.740","0.000"
"USEP","05 Aug 2019","35","104.89","0.00","6845.270","0.000"
"USEP","05 Aug 2019","36","102.84","0.00","6720.260","0.000"
"USEP","05 Aug 2019","37","103.03","0.00","6648.767","0.000"
"USEP","05 Aug 2019","38","104.33","0.00","6656.087","0.000"
"USEP","05 Aug 2019","39","104.41","0.00","6659.368","0.000"
"USEP","05 Aug 2019","40","104.34","0.00","6637.972","0.000"
"USEP","05 Aug 2019","41","106.16","0.00","6609.568","0.000"
"USEP","05 Aug 2019","42","108.78","0.00","6589.872","0.000"
"USEP","05 Aug 2019","43","107.70","0.00","6535.033","0.000"
"USEP","05 Aug 2019","44","104.40","0.00","6425.817","0.000"
"USEP","05 Aug 2019","45","105.88","0.00","6300.941","0.000"
"USEP","05 Aug 2019","46","101.06","0.00","6167.512","0.000"
"USEP","05 Aug 2019","47","93.31","0.00","6033.182","0.000"
"USEP","05 Aug 2019","48","82.02","0.00","5866.016","0.000"
"USEP","06 Aug 2019","1","80.35","0.00","5736.468","0.000"
"USEP","06 Aug 2019","2","75.80","0.00","5619.952","0.000"
"USEP","06 Aug 2019","3","74.77","0.00","5530.397","0.000"
"USEP","06 Aug 2019","4","73.97","0.00","5454.540","0.000"
"USEP","06 Aug 2019","5","73.59","0.00","5391.635","0.000"
"USEP","06 Aug 2019","6","72.94","0.00","5357.357","0.000"
"USEP","06 Aug 2019","7","72.47","0.00","5317.015","0.000"
"USEP","06 Aug 2019","8","71.97","0.00","5298.512","0.000"
"USEP","06 Aug 2019","9","72.00","0.00","5296.390","0.000"
"USEP","06 Aug 2019","10","72.46","0.00","5322.950","0.000"
"USEP","06 Aug 2019","11","73.58","0.00","5401.794","0.000"
"USEP","06 Aug 2019","12","75.37","0.00","5545.596","0.000"
"USEP","06 Aug 2019","13","78.30","0.00","5729.341","0.000"
"USEP","06 Aug 2019","14","82.36","0.00","5903.848","0.000"
"USEP","06 Aug 2019","15","84.58","0.00","6091.192","0.000"
"USEP","06 Aug 2019","16","96.78","0.00","6360.452","0.000"
"USEP","06 Aug 2019","17","102.62","0.00","6601.268","0.000"
"USEP","06 Aug 2019","18","104.78","0.00","6777.505","0.000"
"USEP","06 Aug 2019","19","108.91","0.00","6870.687","0.000"
"USEP","06 Aug 2019","20","142.54","0.00","6949.581","0.000"
"USEP","06 Aug 2019","21","241.27","0.00","7011.060","0.000"
"USEP","06 Aug 2019","22","231.94","0.00","7005.662","0.000"
"USEP","06 Aug 2019","23","111.04","0.00","6980.151","0.000"
"USEP","06 Aug 2019","24","104.09","0.00","6907.848","0.000"
"USEP","06 Aug 2019","25","98.92","0.00","6846.563","0.000"
"USEP","06 Aug 2019","26","98.92","0.00","6877.148","0.000"
"USEP","06 Aug 2019","27","104.08","0.00","6935.958","0.000"
"USEP","06 Aug 2019","28","104.34","0.00","6963.875","0.000"
"USEP","06 Aug 2019","29","104.39","0.00","6964.993","0.000"
"USEP","06 Aug 2019","30","98.38","0.00","6944.298","0.000"
"USEP","06 Aug 2019","31","98.91","0.00","6953.482","0.000"
"USEP","06 Aug 2019","32","104.30","0.00","6960.699","0.000"
"USEP","06 Aug 2019","33","120.27","0.00","6971.225","0.000"
"USEP","06 Aug 2019","34","120.27","0.00","6948.244","0.000"
"USEP","06 Aug 2019","35","108.84","0.00","6874.375","0.000"
"USEP","06 Aug 2019","36","104.75","0.00","6766.690","0.000"
"USEP","06 Aug 2019","37","103.08","0.00","6686.330","0.000"
"USEP","06 Aug 2019","38","104.40","0.00","6710.171","0.000"
"USEP","06 Aug 2019","39","105.05","0.00","6724.917","0.000"
"USEP","06 Aug 2019","40","104.74","0.00","6688.472","0.000"
"USEP","06 Aug 2019","41","105.05","0.00","6655.218","0.000"
"USEP","06 Aug 2019","42","105.09","0.00","6622.098","0.000"
"USEP","06 Aug 2019","43","105.11","0.00","6577.805","0.000"
"USEP","06 Aug 2019","44","104.28","0.00","6462.367","0.000"
"USEP","06 Aug 2019","45","103.03","0.00","6323.818","0.000"
"USEP","06 Aug 2019","46","99.03","0.00","6188.823","0.000"
"USEP","06 Aug 2019","47","95.45","0.00","6046.572","0.000"
"USEP","06 Aug 2019","48","81.32","0.00","5841.852","0.000"
"USEP","07 Aug 2019","1","78.12","0.00","5671.605","0.000"
"USEP","07 Aug 2019","2","75.57","0.00","5544.920","0.000"
