"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Nov 2019","1","68.90","0.00","5420.257","0.000"
"USEP","01 Nov 2019","2","68.88","0.00","5308.089","0.000"
"USEP","01 Nov 2019","3","68.67","0.00","5274.681","0.000"
"USEP","01 Nov 2019","4","67.75","0.00","5205.484","0.000"
"USEP","01 Nov 2019","5","67.49","0.00","5143.393","0.000"
"USEP","01 Nov 2019","6","65.60","0.00","5061.368","0.000"
"USEP","01 Nov 2019","7","65.43","0.00","5023.497","0.000"
"USEP","01 Nov 2019","8","65.33","0.00","5003.249","0.000"
"USEP","01 Nov 2019","9","65.33","0.00","4987.226","0.000"
"USEP","01 Nov 2019","10","65.34","0.00","5010.530","0.000"
"USEP","01 Nov 2019","11","65.62","0.00","5079.151","0.000"
"USEP","01 Nov 2019","12","67.48","0.00","5204.077","0.000"
"USEP","01 Nov 2019","13","68.51","0.00","5387.689","0.000"
"USEP","01 Nov 2019","14","74.47","0.00","5558.493","0.000"
"USEP","01 Nov 2019","15","74.50","0.00","5770.920","0.000"
"USEP","01 Nov 2019","16","76.81","0.00","6015.882","0.000"
"USEP","01 Nov 2019","17","81.02","0.00","6257.469","0.000"
"USEP","01 Nov 2019","18","75.95","0.00","6427.572","0.000"
"USEP","01 Nov 2019","19","79.14","0.00","6531.400","0.000"
"USEP","01 Nov 2019","20","79.57","0.00","6601.268","0.000"
"USEP","01 Nov 2019","21","78.42","0.00","6659.368","0.000"
"USEP","01 Nov 2019","22","84.67","0.00","6707.060","0.000"
"USEP","01 Nov 2019","23","78.77","0.00","6691.315","0.000"
"USEP","01 Nov 2019","24","75.34","0.00","6639.145","0.000"
"USEP","01 Nov 2019","25","73.77","0.00","6597.834","0.000"
"USEP","01 Nov 2019","26","78.45","0.00","6607.391","0.000"
"USEP","01 Nov 2019","27","75.34","0.00","6661.137","0.000"
"USEP","01 Nov 2019","28","75.35","0.00","6695.475","0.000"
"USEP","01 Nov 2019","29","75.85","0.00","6716.880","0.000"
"USEP","01 Nov 2019","30","75.84","0.00","6718.590","0.000"
"USEP","01 Nov 2019","31","75.75","0.00","6695.947","0.000"
"USEP","01 Nov 2019","32","75.29","0.00","6684.973","0.000"
"USEP","01 Nov 2019","33","75.06","0.00","6661.052","0.000"
"USEP","01 Nov 2019","34","75.17","0.00","6606.402","0.000"
"USEP","01 Nov 2019","35","75.28","0.00","6541.231","0.000"
"USEP","01 Nov 2019","36","74.11","0.00","6446.831","0.000"
"USEP","01 Nov 2019","37","75.49","0.00","6384.830","0.000"
"USEP","01 Nov 2019","38","75.88","0.00","6404.625","0.000"
"USEP","01 Nov 2019","39","79.92","0.00","6389.427","0.000"
"USEP","01 Nov 2019","40","81.07","0.00","6362.425","0.000"
"USEP","01 Nov 2019","41","81.08","0.00","6306.025","0.000"
"USEP","01 Nov 2019","42","80.57","0.00","6246.659","0.000"
"USEP","01 Nov 2019","43","80.07","0.00","6177.437","0.000"
"USEP","01 Nov 2019","44","79.97","0.00","6066.814","0.000"
"USEP","01 Nov 2019","45","76.73","0.00","5941.854","0.000"
"USEP","01 Nov 2019","46","75.00","0.00","5822.042","0.000"
"USEP","01 Nov 2019","47","69.44","0.00","5709.973","0.000"
"USEP","01 Nov 2019","48","68.52","0.00","5607.562","0.000"
"USEP","02 Nov 2019","1","71.89","0.00","5494.032","0.000"
"USEP","02 Nov 2019","2","72.25","0.00","5398.578","0.000"
"USEP","02 Nov 2019","3","70.74","0.00","5294.039","0.000"
"USEP","02 Nov 2019","4","70.03","0.00","5206.900","0.000"
"USEP","02 Nov 2019","5","70.01","0.00","5150.500","0.000"
"USEP","02 Nov 2019","6","67.78","0.00","5101.725","0.000"
"USEP","02 Nov 2019","7","67.78","0.00","5067.427","0.000"
"USEP","02 Nov 2019","8","67.69","0.00","5028.253","0.000"
"USEP","02 Nov 2019","9","67.69","0.00","5011.176","0.000"
"USEP","02 Nov 2019","10","67.69","0.00","5024.874","0.000"
"USEP","02 Nov 2019","11","67.79","0.00","5058.342","0.000"
"USEP","02 Nov 2019","12","67.79","0.00","5120.656","0.000"
"USEP","02 Nov 2019","13","68.16","0.00","5190.837","0.000"
"USEP","02 Nov 2019","14","70.03","0.00","5257.987","0.000"
"USEP","02 Nov 2019","15","70.04","0.00","5346.970","0.000"
"USEP","02 Nov 2019","16","72.23","0.00","5514.941","0.000"
"USEP","02 Nov 2019","17","74.09","0.00","5727.130","0.000"
"USEP","02 Nov 2019","18","70.69","0.00","5892.849","0.000"
"USEP","02 Nov 2019","19","77.54","0.00","6026.428","0.000"
"USEP","02 Nov 2019","20","77.90","0.00","6105.009","0.000"
"USEP","02 Nov 2019","21","78.16","0.00","6181.482","0.000"
"USEP","02 Nov 2019","22","78.33","0.00","6212.043","0.000"
"USEP","02 Nov 2019","23","78.31","0.00","6199.215","0.000"
"USEP","02 Nov 2019","24","78.31","0.00","6151.931","0.000"
"USEP","02 Nov 2019","25","78.21","0.00","6100.635","0.000"
"USEP","02 Nov 2019","26","77.90","0.00","6062.530","0.000"
"USEP","02 Nov 2019","27","78.19","0.00","6048.520","0.000"
"USEP","02 Nov 2019","28","76.31","0.00","6026.915","0.000"
"USEP","02 Nov 2019","29","76.31","0.00","6020.688","0.000"
"USEP","02 Nov 2019","30","72.03","0.00","6007.448","0.000"
"USEP","02 Nov 2019","31","71.82","0.00","5981.082","0.000"
"USEP","02 Nov 2019","32","77.92","0.00","5975.501","0.000"
"USEP","02 Nov 2019","33","78.18","0.00","5951.351","0.000"
"USEP","02 Nov 2019","34","78.18","0.00","5930.164","0.000"
"USEP","02 Nov 2019","35","77.82","0.00","5900.563","0.000"
"USEP","02 Nov 2019","36","77.57","0.00","5887.502","0.000"
"USEP","02 Nov 2019","37","77.47","0.00","5930.264","0.000"
"USEP","02 Nov 2019","38","80.81","0.00","6015.917","0.000"
"USEP","02 Nov 2019","39","81.00","0.00","6052.635","0.000"
"USEP","02 Nov 2019","40","81.02","0.00","6060.388","0.000"
"USEP","02 Nov 2019","41","82.02","0.00","6065.945","0.000"
"USEP","02 Nov 2019","42","83.04","0.00","6072.426","0.000"
"USEP","02 Nov 2019","43","83.72","0.00","6034.688","0.000"
"USEP","02 Nov 2019","44","81.00","0.00","5954.050","0.000"
"USEP","02 Nov 2019","45","75.72","0.00","5836.977","0.000"
"USEP","02 Nov 2019","46","75.31","0.00","5755.340","0.000"
"USEP","02 Nov 2019","47","71.26","0.00","5662.510","0.000"
"USEP","02 Nov 2019","48","70.75","0.00","5522.470","0.000"
"USEP","03 Nov 2019","1","69.66","0.00","5384.727","0.000"
"USEP","03 Nov 2019","2","69.23","0.00","5279.462","0.000"
"USEP","03 Nov 2019","3","69.13","0.00","5239.742","0.000"
"USEP","03 Nov 2019","4","68.11","0.00","5116.883","0.000"
"USEP","03 Nov 2019","5","66.91","0.00","5042.572","0.000"
"USEP","03 Nov 2019","6","66.70","0.00","4983.002","0.000"
"USEP","03 Nov 2019","7","66.61","0.00","4931.880","0.000"
"USEP","03 Nov 2019","8","61.65","0.00","4893.606","0.000"
"USEP","03 Nov 2019","9","64.37","0.00","4866.818","0.000"
"USEP","03 Nov 2019","10","64.37","0.00","4872.558","0.000"
"USEP","03 Nov 2019","11","66.60","0.00","4906.965","0.000"
"USEP","03 Nov 2019","12","66.60","0.00","4956.079","0.000"
"USEP","03 Nov 2019","13","66.60","0.00","4995.407","0.000"
"USEP","03 Nov 2019","14","66.61","0.00","5033.586","0.000"
"USEP","03 Nov 2019","15","66.82","0.00","5085.513","0.000"
"USEP","03 Nov 2019","16","68.06","0.00","5171.693","0.000"
"USEP","03 Nov 2019","17","69.90","0.00","5290.709","0.000"
"USEP","03 Nov 2019","18","70.32","0.00","5408.150","0.000"
"USEP","03 Nov 2019","19","69.49","0.00","5473.232","0.000"
"USEP","03 Nov 2019","20","69.56","0.00","5534.547","0.000"
"USEP","03 Nov 2019","21","69.55","0.00","5606.975","0.000"
"USEP","03 Nov 2019","22","69.50","0.00","5633.132","0.000"
"USEP","03 Nov 2019","23","69.52","0.00","5642.357","0.000"
"USEP","03 Nov 2019","24","69.15","0.00","5617.601","0.000"
"USEP","03 Nov 2019","25","69.14","0.00","5596.364","0.000"
"USEP","03 Nov 2019","26","69.16","0.00","5595.807","0.000"
"USEP","03 Nov 2019","27","69.32","0.00","5623.903","0.000"
"USEP","03 Nov 2019","28","69.32","0.00","5626.293","0.000"
"USEP","03 Nov 2019","29","69.32","0.00","5628.371","0.000"
"USEP","03 Nov 2019","30","69.85","0.00","5636.248","0.000"
"USEP","03 Nov 2019","31","70.04","0.00","5645.736","0.000"
"USEP","03 Nov 2019","32","69.64","0.00","5627.859","0.000"
"USEP","03 Nov 2019","33","69.64","0.00","5630.881","0.000"
"USEP","03 Nov 2019","34","70.04","0.00","5642.381","0.000"
"USEP","03 Nov 2019","35","70.07","0.00","5655.701","0.000"
"USEP","03 Nov 2019","36","69.64","0.00","5660.497","0.000"
"USEP","03 Nov 2019","37","69.88","0.00","5712.607","0.000"
"USEP","03 Nov 2019","38","70.80","0.00","5814.656","0.000"
"USEP","03 Nov 2019","39","71.81","0.00","5909.111","0.000"
"USEP","03 Nov 2019","40","76.91","0.00","5958.046","0.000"
"USEP","03 Nov 2019","41","78.90","0.00","5980.331","0.000"
"USEP","03 Nov 2019","42","78.91","0.00","5981.286","0.000"
"USEP","03 Nov 2019","43","78.92","0.00","5956.366","0.000"
"USEP","03 Nov 2019","44","75.58","0.00","5895.161","0.000"
"USEP","03 Nov 2019","45","70.94","0.00","5779.300","0.000"
"USEP","03 Nov 2019","46","74.99","0.00","5664.831","0.000"
"USEP","03 Nov 2019","47","70.96","0.00","5560.416","0.000"
"USEP","03 Nov 2019","48","69.86","0.00","5459.028","0.000"
"USEP","04 Nov 2019","1","68.90","0.00","5369.553","0.000"
"USEP","04 Nov 2019","2","68.78","0.00","5256.878","0.000"
"USEP","04 Nov 2019","3","66.69","0.00","5126.853","0.000"
"USEP","04 Nov 2019","4","64.65","0.00","5060.618","0.000"
"USEP","04 Nov 2019","5","64.22","0.00","5006.425","0.000"
"USEP","04 Nov 2019","6","59.12","0.00","4966.561","0.000"
"USEP","04 Nov 2019","7","57.63","0.00","4932.298","0.000"
"USEP","04 Nov 2019","8","57.62","0.00","4911.125","0.000"
"USEP","04 Nov 2019","9","57.62","0.00","4906.846","0.000"
"USEP","04 Nov 2019","10","57.80","0.00","4934.176","0.000"
"USEP","04 Nov 2019","11","64.54","0.00","5016.042","0.000"
"USEP","04 Nov 2019","12","67.64","0.00","5166.270","0.000"
"USEP","04 Nov 2019","13","68.87","0.00","5366.626","0.000"
"USEP","04 Nov 2019","14","74.97","0.00","5562.399","0.000"
"USEP","04 Nov 2019","15","77.61","0.00","5794.215","0.000"
"USEP","04 Nov 2019","16","78.92","0.00","6075.060","0.000"
"USEP","04 Nov 2019","17","82.07","0.00","6330.930","0.000"
"USEP","04 Nov 2019","18","245.37","0.00","6511.624","0.000"
"USEP","04 Nov 2019","19","85.77","0.00","6623.275","0.000"
"USEP","04 Nov 2019","20","252.75","0.00","6694.351","0.000"
"USEP","04 Nov 2019","21","111.11","0.00","6752.640","0.000"
"USEP","04 Nov 2019","22","81.09","0.00","6772.480","0.000"
"USEP","04 Nov 2019","23","82.11","0.00","6781.113","0.000"
"USEP","04 Nov 2019","24","80.76","0.00","6734.181","0.000"
"USEP","04 Nov 2019","25","79.06","0.00","6688.795","0.000"
"USEP","04 Nov 2019","26","79.85","0.00","6684.203","0.000"
"USEP","04 Nov 2019","27","82.11","0.00","6755.497","0.000"
"USEP","04 Nov 2019","28","82.17","0.00","6770.124","0.000"
"USEP","04 Nov 2019","29","82.69","0.00","6760.254","0.000"
"USEP","04 Nov 2019","30","85.15","0.00","6768.777","0.000"
"USEP","04 Nov 2019","31","85.15","0.00","6790.153","0.000"
"USEP","04 Nov 2019","32","83.13","0.00","6763.772","0.000"
"USEP","04 Nov 2019","33","82.94","0.00","6715.136","0.000"
"USEP","04 Nov 2019","34","81.05","0.00","6671.330","0.000"
"USEP","04 Nov 2019","35","78.55","0.00","6612.182","0.000"
"USEP","04 Nov 2019","36","77.89","0.00","6527.876","0.000"
"USEP","04 Nov 2019","37","80.72","0.00","6492.430","0.000"
"USEP","04 Nov 2019","38","85.44","0.00","6528.915","0.000"
"USEP","04 Nov 2019","39","87.11","0.00","6535.366","0.000"
"USEP","04 Nov 2019","40","92.34","0.00","6511.878","0.000"
"USEP","04 Nov 2019","41","252.77","0.00","6462.074","0.000"
"USEP","04 Nov 2019","42","92.31","0.00","6419.108","0.000"
"USEP","04 Nov 2019","43","90.93","0.00","6336.780","0.000"
"USEP","04 Nov 2019","44","87.60","0.00","6217.102","0.000"
"USEP","04 Nov 2019","45","85.09","0.00","6063.002","0.000"
