"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Jun 2020","1","52.60","0.00","5457.125","0.000"
"USEP","01 Jun 2020","2","50.30","0.00","5367.973","0.000"
"USEP","01 Jun 2020","3","46.07","0.00","5213.282","0.000"
"USEP","01 Jun 2020","4","44.68","0.00","5149.566","0.000"
"USEP","01 Jun 2020","5","43.63","0.00","5097.297","0.000"
"USEP","01 Jun 2020","6","43.45","0.00","5055.956","0.000"
"USEP","01 Jun 2020","7","43.09","0.00","5023.507","0.000"
"USEP","01 Jun 2020","8","43.06","0.00","5007.896","0.000"
"USEP","01 Jun 2020","9","42.32","0.00","5004.735","0.000"
"USEP","01 Jun 2020","10","42.32","0.00","5008.145","0.000"
"USEP","01 Jun 2020","11","42.29","0.00","5029.700","0.000"
"USEP","01 Jun 2020","12","42.22","0.00","5089.384","0.000"
"USEP","01 Jun 2020","13","42.33","0.00","5187.507","0.000"
"USEP","01 Jun 2020","14","43.11","0.00","5291.077","0.000"
"USEP","01 Jun 2020","15","43.11","0.00","5429.521","0.000"
"USEP","01 Jun 2020","16","44.65","0.00","5675.993","0.000"
"USEP","01 Jun 2020","17","52.30","0.00","5937.674","0.000"
"USEP","01 Jun 2020","18","54.78","0.00","6107.032","0.000"
"USEP","01 Jun 2020","19","56.32","0.00","6174.211","0.000"
"USEP","01 Jun 2020","20","186.97","0.00","6214.448","0.000"
"USEP","01 Jun 2020","21","68.87","0.00","6208.290","0.000"
"USEP","01 Jun 2020","22","61.41","0.00","6231.635","0.000"
"USEP","01 Jun 2020","23","64.15","0.00","6252.553","0.000"
"USEP","01 Jun 2020","24","72.10","0.00","6273.134","0.000"
"USEP","01 Jun 2020","25","54.84","0.00","6266.574","0.000"
"USEP","01 Jun 2020","26","54.76","0.00","6288.735","0.000"
"USEP","01 Jun 2020","27","54.70","0.00","6308.053","0.000"
"USEP","01 Jun 2020","28","52.33","0.00","6321.159","0.000"
"USEP","01 Jun 2020","29","52.33","0.00","6324.688","0.000"
"USEP","01 Jun 2020","30","51.92","0.00","6312.253","0.000"
"USEP","01 Jun 2020","31","48.85","0.00","6275.649","0.000"
"USEP","01 Jun 2020","32","48.74","0.00","6249.477","0.000"
"USEP","01 Jun 2020","33","48.74","0.00","6210.636","0.000"
"USEP","01 Jun 2020","34","47.48","0.00","6170.454","0.000"
"USEP","01 Jun 2020","35","47.47","0.00","6123.393","0.000"
"USEP","01 Jun 2020","36","47.65","0.00","6066.069","0.000"
"USEP","01 Jun 2020","37","47.07","0.00","6009.485","0.000"
"USEP","01 Jun 2020","38","46.26","0.00","5992.866","0.000"
"USEP","01 Jun 2020","39","47.40","0.00","5990.714","0.000"
"USEP","01 Jun 2020","40","48.50","0.00","6015.504","0.000"
"USEP","01 Jun 2020","41","48.13","0.00","5998.497","0.000"
"USEP","01 Jun 2020","42","46.23","0.00","5958.901","0.000"
"USEP","01 Jun 2020","43","45.75","0.00","5888.983","0.000"
"USEP","01 Jun 2020","44","44.49","0.00","5803.986","0.000"
"USEP","01 Jun 2020","45","43.76","0.00","5730.112","0.000"
"USEP","01 Jun 2020","46","43.53","0.00","5650.602","0.000"
"USEP","01 Jun 2020","47","46.57","0.00","5537.678","0.000"
"USEP","01 Jun 2020","48","44.36","0.00","5379.026","0.000"
"USEP","02 Jun 2020","1","44.87","0.00","5225.478","0.000"
"USEP","02 Jun 2020","2","43.60","0.00","5143.284","0.000"
"USEP","02 Jun 2020","3","43.55","0.00","5115.512","0.000"
"USEP","02 Jun 2020","4","42.02","0.00","5055.872","0.000"
"USEP","02 Jun 2020","5","39.87","0.00","5006.897","0.000"
"USEP","02 Jun 2020","6","39.34","0.00","4966.019","0.000"
"USEP","02 Jun 2020","7","35.18","0.00","4940.175","0.000"
"USEP","02 Jun 2020","8","35.14","0.00","4929.569","0.000"
"USEP","02 Jun 2020","9","35.14","0.00","4933.943","0.000"
"USEP","02 Jun 2020","10","35.13","0.00","4942.377","0.000"
"USEP","02 Jun 2020","11","35.28","0.00","4974.726","0.000"
"USEP","02 Jun 2020","12","39.34","0.00","5044.903","0.000"
"USEP","02 Jun 2020","13","35.46","0.00","5167.543","0.000"
"USEP","02 Jun 2020","14","43.56","0.00","5366.119","0.000"
"USEP","02 Jun 2020","15","44.37","0.00","5644.732","0.000"
"USEP","02 Jun 2020","16","49.82","0.00","5921.169","0.000"
"USEP","02 Jun 2020","17","48.48","0.00","6092.489","0.000"
"USEP","02 Jun 2020","18","49.51","0.00","6229.274","0.000"
"USEP","02 Jun 2020","19","53.53","0.00","6313.232","0.000"
"USEP","02 Jun 2020","20","54.65","0.00","6352.868","0.000"
"USEP","02 Jun 2020","21","54.68","0.00","6383.150","0.000"
"USEP","02 Jun 2020","22","54.75","0.00","6409.744","0.000"
"USEP","02 Jun 2020","23","54.75","0.00","6408.402","0.000"
"USEP","02 Jun 2020","24","54.64","0.00","6374.388","0.000"
"USEP","02 Jun 2020","25","52.32","0.00","6343.594","0.000"
