Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time,Asset_Type
0,RE,0,,0,96,1,,0
1,RE,0,,0,96,1,,0
2,CG,0,,0,96,1,,0
3,Battery,0,,0,96,1,,0
4,H2_Storage,0,,0,96,1,,0
5,EL_Demand,0,,0,96,1,,0
6,HTH_Demand,0,,0,96,1,,0
7,H2_to_HTH,0,,0,96,1,,0
8,EL_to_HTH,0,,0,96,1,,0
9,RE,1,,0,96,1,,0
10,RE,1,,0,96,1,,0
11,CG,1,,0,96,1,,0
12,Battery,1,,0,96,1,,0
13,H2_Storage,1,,0,96,1,,0
14,EL_Demand,1,,0,96,1,,0
15,HTH_Demand,1,,0,96,1,,0
16,H2_to_HTH,1,,0,96,1,,0
17,EL_to_HTH,1,,0,96,1,,0
18,RE,2,,0,96,1,,0
19,RE,2,,0,96,1,,0
20,CG,2,,0,96,1,,0
21,Battery,2,,0,96,1,,0
22,H2_Storage,2,,0,96,1,,0
23,EL_Demand,2,,0,96,1,,0
24,HTH_Demand,2,,0,96,1,,0
25,H2_to_HTH,2,,0,96,1,,0
26,EL_to_HTH,2,,0,96,1,,0
27,EL_Transport,0,1,0,96,1,0,0
28,EL_Transport,0,2,0,96,1,0,0
29,EL_Transport,1,0,0,96,1,0,0
30,EL_Transport,1,2,0,96,1,0,0
31,EL_Transport,2,0,0,96,1,0,0
32,EL_Transport,2,1,0,96,1,0,0
33,H2_Transport,0,1,0,96,1,10,0
34,H2_Transport,0,2,0,96,1,10,0
35,H2_Transport,1,0,0,96,1,10,0
36,H2_Transport,1,2,0,96,1,10,0
37,H2_Transport,2,0,0,96,1,10,0
38,H2_Transport,2,1,0,96,1,10,0
