HDR,ROLLING SYSTEM DEMAND
VD,20200101000000,27007
VD,20200101000500,27044
VD,20200101001000,27095
VD,20200101001500,27100
VD,20200101002000,27160
VD,20200101002500,27188
VD,20200101003000,27202
VD,20200101003500,27519
VD,20200101004000,27657
VD,20200101004500,27709
VD,20200101005000,27713
VD,20200101005500,27675
VD,20200101010000,27646
VD,20200101010500,27574
VD,20200101011000,27428
VD,20200101011500,27279
VD,20200101012000,27073
VD,20200101012500,26852
VD,20200101013000,26739
VD,20200101013500,26652
VD,20200101014000,26578
VD,20200101014500,26403
VD,20200101015000,26247
VD,20200101015500,26166
VD,20200101020000,26093
VD,20200101020500,25928
VD,20200101021000,25864
VD,20200101021500,25677
VD,20200101022000,25728
VD,20200101022500,25652
VD,20200101023000,25543
VD,20200101023500,25660
VD,20200101024000,25643
VD,20200101024500,25574
VD,20200101025000,25391
VD,20200101025500,25377
VD,20200101030000,25390
VD,20200101030500,25361
VD,20200101031000,25341
VD,20200101031500,25227
VD,20200101032000,25088
VD,20200101032500,24998
VD,20200101033000,24879
VD,20200101033500,24772
VD,20200101034000,24724
VD,20200101034500,24615
VD,20200101035000,24435
VD,20200101035500,24409
VD,20200101040000,24187
VD,20200101040500,23848
VD,20200101041000,23741
VD,20200101041500,23848
VD,20200101042000,23801
VD,20200101042500,23782
VD,20200101043000,23769
VD,20200101043500,23893
VD,20200101044000,23911
VD,20200101044500,23828
VD,20200101045000,23851
VD,20200101045500,23843
VD,20200101050000,23814
VD,20200101050500,23891
VD,20200101051000,23908
VD,20200101051500,23851
VD,20200101052000,23788
VD,20200101052500,23788
VD,20200101053000,23765
VD,20200101053500,23861
VD,20200101054000,23931
VD,20200101054500,23950
VD,20200101055000,23998
VD,20200101055500,24036
VD,20200101060000,24151
VD,20200101060500,24602
VD,20200101061000,24729
VD,20200101061500,24794
VD,20200101062000,24826
VD,20200101062500,24859
VD,20200101063000,24878
VD,20200101063500,24879
VD,20200101064000,25033
VD,20200101064500,25164
VD,20200101065000,25008
VD,20200101065500,24943
VD,20200101070000,24938
VD,20200101070500,25111
VD,20200101071000,25149
VD,20200101071500,25127
VD,20200101072000,25123
VD,20200101072500,25169
VD,20200101073000,25234
VD,20200101073500,25226
VD,20200101074000,25237
VD,20200101074500,25264
VD,20200101075000,25286
VD,20200101075500,25273
VD,20200101080000,25315
VD,20200101080500,25482
VD,20200101081000,25584
VD,20200101081500,25542
VD,20200101082000,25617
VD,20200101082500,25677
VD,20200101083000,25713
VD,20200101083500,25847
VD,20200101084000,26007
VD,20200101084500,26165
VD,20200101085000,26318
VD,20200101085500,26464
VD,20200101090000,26598
VD,20200101090500,26887
VD,20200101091000,27179
VD,20200101091500,27452
VD,20200101092000,27654
VD,20200101092500,27831
VD,20200101093000,28056
VD,20200101093500,28290
VD,20200101094000,28552
VD,20200101094500,28676
VD,20200101095000,28760
VD,20200101095500,28873
VD,20200101100000,29055
VD,20200101100500,29484
VD,20200101101000,29655
VD,20200101101500,29813
VD,20200101102000,29883
VD,20200101102500,30010
VD,20200101103000,30197
VD,20200101103500,30202
VD,20200101104000,30212
VD,20200101104500,30292
VD,20200101105000,30420
VD,20200101105500,30476
VD,20200101110000,30520
VD,20200101110500,30805
VD,20200101111000,30763
VD,20200101111500,30898
VD,20200101112000,31119
VD,20200101112500,31468
VD,20200101113000,31625
VD,20200101113500,31754
VD,20200101114000,31745
VD,20200101114500,31832
VD,20200101115000,31966
VD,20200101115500,32166
VD,20200101120000,32400
VD,20200101120500,32778
VD,20200101121000,32876
VD,20200101121500,32926
VD,20200101122000,33029
VD,20200101122500,33105
VD,20200101123000,33128
VD,20200101123500,33321
VD,20200101124000,33200
VD,20200101124500,33173
VD,20200101125000,33249
VD,20200101125500,33288
VD,20200101130000,33317
VD,20200101130500,33354
VD,20200101131000,33424
VD,20200101131500,33537
VD,20200101132000,33566
VD,20200101132500,33652
VD,20200101133000,33685
VD,20200101133500,33665
VD,20200101134000,33608
VD,20200101134500,33668
VD,20200101135000,33669
VD,20200101135500,33533
VD,20200101140000,33555
VD,20200101140500,33749
VD,20200101141000,33856
VD,20200101141500,33914
VD,20200101142000,33903
VD,20200101142500,33928
VD,20200101143000,33904
VD,20200101143500,33966
VD,20200101144000,34121
VD,20200101144500,34109
VD,20200101145000,34098
VD,20200101145500,34132
VD,20200101150000,34151
VD,20200101150500,34327
VD,20200101151000,34385
VD,20200101151500,34402
VD,20200101152000,34473
VD,20200101152500,34584
VD,20200101153000,34686
VD,20200101153500,34869
VD,20200101154000,35018
VD,20200101154500,35068
VD,20200101155000,35223
VD,20200101155500,35463
VD,20200101160000,35641
VD,20200101160500,35729
VD,20200101161000,35635
VD,20200101161500,35967
VD,20200101162000,36291
VD,20200101162500,36506
VD,20200101163000,36642
VD,20200101163500,36821
VD,20200101164000,37006
VD,20200101164500,37375
VD,20200101165000,37557
VD,20200101165500,37634
VD,20200101170000,37674
VD,20200101170500,37707
VD,20200101171000,37757
VD,20200101171500,37785
VD,20200101172000,37867
VD,20200101172500,37929
VD,20200101173000,37909
VD,20200101173500,37825
VD,20200101174000,37762
VD,20200101174500,37685
VD,20200101175000,37615
VD,20200101175500,37482
VD,20200101180000,37216
VD,20200101180500,37003
VD,20200101181000,36911
VD,20200101181500,36809
VD,20200101182000,36609
VD,20200101182500,36339
VD,20200101183000,36180
VD,20200101183500,36163
VD,20200101184000,36132
VD,20200101184500,36010
VD,20200101185000,35830
VD,20200101185500,35728
VD,20200101190000,35673
VD,20200101190500,35568
VD,20200101191000,35433
VD,20200101191500,35333
VD,20200101192000,35035
VD,20200101192500,34771
VD,20200101193000,34684
VD,20200101193500,34623
VD,20200101194000,34450
VD,20200101194500,34207
VD,20200101195000,34010
VD,20200101195500,33813
VD,20200101200000,33671
VD,20200101200500,33744
VD,20200101201000,33525
VD,20200101201500,33245
VD,20200101202000,33036
VD,20200101202500,32852
VD,20200101203000,32732
VD,20200101203500,32571
VD,20200101204000,32343
VD,20200101204500,32073
VD,20200101205000,31910
VD,20200101205500,31691
VD,20200101210000,31594
VD,20200101210500,31591
VD,20200101211000,31490
VD,20200101211500,31228
VD,20200101212000,30849
VD,20200101212500,30585
VD,20200101213000,30317
VD,20200101213500,30011
VD,20200101214000,29734
VD,20200101214500,29518
VD,20200101215000,29226
VD,20200101215500,28973
VD,20200101220000,28860
VD,20200101220500,28845
VD,20200101221000,28742
VD,20200101221500,28561
VD,20200101222000,28168
VD,20200101222500,27804
VD,20200101223000,27587
VD,20200101223500,27567
VD,20200101224000,27387
VD,20200101224500,27164
VD,20200101225000,26999
VD,20200101225500,26760
VD,20200101230000,26322
VD,20200101230500,25464
VD,20200101231000,25220
VD,20200101231500,24965
VD,20200101232000,24758
VD,20200101232500,24610
VD,20200101233000,24386
VD,20200101233500,24310
VD,20200101234000,24124
VD,20200101234500,23859
VD,20200101235000,23634
VD,20200101235500,23486
VD,20200102000000,23422
VD,20200102000500,23659
VD,20200102001000,23752
VD,20200102001500,23808
VD,20200102002000,23788
VD,20200102002500,23749
VD,20200102003000,23775
VD,20200102003500,24018
VD,20200102004000,24068
VD,20200102004500,24162
VD,20200102005000,24258
VD,20200102005500,24223
VD,20200102010000,24161
VD,20200102010500,24074
VD,20200102011000,23996
VD,20200102011500,23963
VD,20200102012000,23776
VD,20200102012500,23614
VD,20200102013000,23572
VD,20200102013500,23661
VD,20200102014000,23760
VD,20200102014500,23707
VD,20200102015000,23643
VD,20200102015500,23567
VD,20200102020000,23527
VD,20200102020500,23826
VD,20200102021000,24057
VD,20200102021500,24012
VD,20200102022000,23940
VD,20200102022500,23862
VD,20200102023000,23905
VD,20200102023500,24070
VD,20200102024000,24078
VD,20200102024500,23972
VD,20200102025000,23958
VD,20200102025500,23890
VD,20200102030000,23878
VD,20200102030500,24047
VD,20200102031000,24039
VD,20200102031500,23983
VD,20200102032000,23865
VD,20200102032500,23811
VD,20200102033000,23789
VD,20200102033500,23933
VD,20200102034000,23956
VD,20200102034500,23907
VD,20200102035000,23979
VD,20200102035500,24030
VD,20200102040000,24136
VD,20200102040500,24363
VD,20200102041000,24416
VD,20200102041500,24298
VD,20200102042000,24213
VD,20200102042500,24304
VD,20200102043000,24291
VD,20200102043500,24444
VD,20200102044000,24443
VD,20200102044500,24437
VD,20200102045000,24711
VD,20200102045500,24742
VD,20200102050000,24705
VD,20200102050500,24352
VD,20200102051000,24329
VD,20200102051500,24404
VD,20200102052000,24454
VD,20200102052500,24549
VD,20200102053000,24671
VD,20200102053500,24840
VD,20200102054000,24839
VD,20200102054500,24887
VD,20200102055000,25053
VD,20200102055500,25221
VD,20200102060000,25539
VD,20200102060500,26114
VD,20200102061000,26674
VD,20200102061500,27007
VD,20200102062000,27218
VD,20200102062500,27483
VD,20200102063000,27726
VD,20200102063500,28003
VD,20200102064000,28276
VD,20200102064500,28615
VD,20200102065000,29013
VD,20200102065500,29406
VD,20200102070000,29687
VD,20200102070500,30101
VD,20200102071000,30634
VD,20200102071500,30956
VD,20200102072000,31206
VD,20200102072500,31436
VD,20200102073000,31693
VD,20200102073500,31800
VD,20200102074000,32053
VD,20200102074500,32295
VD,20200102075000,32589
VD,20200102075500,32907
VD,20200102080000,33079
VD,20200102080500,33095
VD,20200102081000,33149
VD,20200102081500,33276
VD,20200102082000,33400
VD,20200102082500,33528
VD,20200102083000,33734
VD,20200102083500,34066
VD,20200102084000,34364
VD,20200102084500,34561
VD,20200102085000,34724
VD,20200102085500,34898
VD,20200102090000,35019
VD,20200102090500,34732
VD,20200102091000,34701
VD,20200102091500,34814
VD,20200102092000,34928
VD,20200102092500,35040
VD,20200102093000,35129
VD,20200102093500,35322
VD,20200102094000,35434
VD,20200102094500,35422
VD,20200102095000,35266
VD,20200102095500,35395
VD,20200102100000,35553
VD,20200102100500,35609
VD,20200102101000,35628
VD,20200102101500,35629
VD,20200102102000,35734
VD,20200102102500,35796
VD,20200102103000,35856
VD,20200102103500,35877
VD,20200102104000,35890
VD,20200102104500,35753
VD,20200102105000,35835
VD,20200102105500,35954
VD,20200102110000,35945
VD,20200102110500,36110
VD,20200102111000,36141
VD,20200102111500,36169
VD,20200102112000,36299
VD,20200102112500,36385
VD,20200102113000,36404
VD,20200102113500,36460
VD,20200102114000,36470
VD,20200102114500,36500
VD,20200102115000,36545
