asset_name,parameter_name,unit,defaults
BESS,charging_conversion_factor,,0.975
BESS,charging_sizing_constant,G$/GW,0.542
BESS,charging_usage_constant,G$/GWh,2.71E-05
BESS,discharging_conversion_factor,,0.975
BESS,discharging_sizing_constant,G$/GW,0.271
BESS,discharging_usage_constant,G$/GWh,2.71E-05
BESS,lifespan,h,87600
BESS,storage_conversion_factor,,1
BESS,storage_sizing_constant,G$/GWh,0.271
BESS,storage_usage_constant,G$/GWh,0
EL_Demand,profile_filename,,JPN_2050_GW
EL_to_HTH,conversion_factor,,1
EL_to_HTH,lifespan,h,131400
EL_to_HTH,sizing_constant,G$/GWp,0.227
EL_to_HTH,usage_constant_1,G$/GWh,3.60E-10
EL_to_NH3,conversion_factor,Gg/GWh,0.101
EL_to_NH3,lifespan,h,262800
EL_to_NH3,sizing_constant,G$/GWp,1.718
EL_to_NH3,usage_constant_1,G$/GWh,0
FF_to_HTH,CO2_emissions_factor,MtCO2e/GWh,0.000202
FF_to_HTH,lifespan,h,262800
FF_to_HTH,sizing_constant,G$/GWp,0.26
FF_to_HTH,usage_constant_1,G$/GWh,3.71E-05
FF_to_HTH,usage_constant_2,G$/(GWh^2),0
HTH_Demand,profile_filename,,JPN_2050_GW
HYDRO,capacity_factor,,0.5
HYDRO,existing_capacity,GWp,34.696
HYDRO,lifespan,h,876000
HYDRO,sizing_constant,G$/GWp,0
HYDRO,usage_constant,G$/GWh,1.37E-05
NH3_Storage,conversion_factor,,0.999987
NH3_Storage,lifespan,h,262800
NH3_Storage,sizing_constant,G$/(Gg),0.5
NH3_Storage,usage_constant_1,G$/(Gg h),0
NH3_to_EL,conversion_factor,GWh/Gg,3.11
NH3_to_EL,lifespan,h,262800
NH3_to_EL,sizing_constant,G$/(Gg/h),2.385
NH3_to_EL,usage_constant_1,G$/Gg,0
NH3_to_HTH,conversion_factor,GWh/Gg,5.19
NH3_to_HTH,lifespan,h,262800
NH3_to_HTH,sizing_constant,G$/(Gg/h),0.26
NH3_to_HTH,usage_constant_1,G$/Gg,5.19E-06
PP_CO2,CO2_emissions_factor,MtCO2e/GWh,0.00045773
PP_CO2,lifespan,h,262800
PP_CO2,sizing_constant,G$/GWp,1.52195951
PP_CO2,usage_constant_1,G$/GWh,1.02E-05
PP_CO2,usage_constant_2,G$/(GWh^2),0
RE_PV_Openfield_BAU,lifespan,h,219000
RE_PV_Openfield_BAU,maximum_size,GWp,45.7475852
RE_PV_Openfield_BAU,sizing_constant,G$/GWp,0.812073485
RE_PV_Openfield_Lim,lifespan,h,219000
RE_PV_Openfield_Lim,maximum_size,GWp,404
RE_PV_Openfield_Lim,sizing_constant,G$/GWp,0.812073485
RE_PV_Rooftop_Lim,lifespan,h,210240
RE_PV_Rooftop_Lim,maximum_size,GWp,121
RE_PV_Rooftop_Lim,sizing_constant,G$/GWp,0.812073485
RE_WIND_Offshore_Lim_0,lifespan,h,219000
RE_WIND_Offshore_Lim_0,maximum_size,GWp,51.512
RE_WIND_Offshore_Lim_0,sizing_constant,G$/GWp,4.578611087
RE_WIND_Offshore_Lim_1,lifespan,h,219000
RE_WIND_Offshore_Lim_1,maximum_size,GWp,76.848
RE_WIND_Offshore_Lim_1,sizing_constant,G$/GWp,4.842915954
RE_WIND_Offshore_Lim_2,lifespan,h,219000
RE_WIND_Offshore_Lim_2,maximum_size,GWp,54.987
RE_WIND_Offshore_Lim_2,sizing_constant,G$/GWp,5.28808595
RE_WIND_Offshore_Lim_3,lifespan,h,219000
RE_WIND_Offshore_Lim_3,maximum_size,GWp,72.718
RE_WIND_Offshore_Lim_3,sizing_constant,G$/GWp,5.051853199
RE_WIND_Offshore_Lim_4,lifespan,h,219000
RE_WIND_Offshore_Lim_4,maximum_size,GWp,96.007
RE_WIND_Offshore_Lim_4,sizing_constant,G$/GWp,5.278985368
RE_WIND_Offshore_Lim_5,lifespan,h,219000
RE_WIND_Offshore_Lim_5,maximum_size,GWp,64.972
RE_WIND_Offshore_Lim_5,sizing_constant,G$/GWp,5.342375125
RE_WIND_Offshore_Lim_6,lifespan,h,219000
RE_WIND_Offshore_Lim_6,maximum_size,GWp,134.19
RE_WIND_Offshore_Lim_6,sizing_constant,G$/GWp,5.58398434
RE_WIND_Offshore_Lim_7,lifespan,h,219000
RE_WIND_Offshore_Lim_7,maximum_size,GWp,147.38
RE_WIND_Offshore_Lim_7,sizing_constant,G$/GWp,5.799169377
RE_WIND_Offshore_Lim_8,lifespan,h,219000
RE_WIND_Offshore_Lim_8,maximum_size,GWp,84.783
RE_WIND_Offshore_Lim_8,sizing_constant,G$/GWp,6.447405648
RE_WIND_Offshore_Lim_9,lifespan,h,219000
RE_WIND_Offshore_Lim_9,maximum_size,GWp,260.076
RE_WIND_Offshore_Lim_9,sizing_constant,G$/GWp,13.03136694
RE_WIND_Onshore_BAU_0,lifespan,h,219000
RE_WIND_Onshore_BAU_0,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_0,sizing_constant,G$/GWp,1.276088852
RE_WIND_Onshore_BAU_1,lifespan,h,219000
RE_WIND_Onshore_BAU_1,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_1,sizing_constant,G$/GWp,1.280659531
RE_WIND_Onshore_BAU_2,lifespan,h,219000
RE_WIND_Onshore_BAU_2,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_2,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_3,lifespan,h,219000
RE_WIND_Onshore_BAU_3,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_3,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_4,lifespan,h,219000
RE_WIND_Onshore_BAU_4,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_4,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_5,lifespan,h,219000
RE_WIND_Onshore_BAU_5,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_5,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_6,lifespan,h,219000
RE_WIND_Onshore_BAU_6,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_6,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_7,lifespan,h,219000
RE_WIND_Onshore_BAU_7,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_7,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_8,lifespan,h,219000
RE_WIND_Onshore_BAU_8,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_8,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_BAU_9,lifespan,h,219000
RE_WIND_Onshore_BAU_9,maximum_size,GWp,0.368258014
RE_WIND_Onshore_BAU_9,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_Lim_0,lifespan,h,219000
RE_WIND_Onshore_Lim_0,maximum_size,GWp,11.078
RE_WIND_Onshore_Lim_0,sizing_constant,G$/GWp,1.276088852
RE_WIND_Onshore_Lim_1,lifespan,h,219000
RE_WIND_Onshore_Lim_1,maximum_size,GWp,14.4085
RE_WIND_Onshore_Lim_1,sizing_constant,G$/GWp,1.280659531
RE_WIND_Onshore_Lim_2,lifespan,h,219000
RE_WIND_Onshore_Lim_2,maximum_size,GWp,19.3375
RE_WIND_Onshore_Lim_2,sizing_constant,G$/GWp,1.280747716
RE_WIND_Onshore_Lim_3,lifespan,h,219000
